,Layer,Glioma nodes,Gastrointestinal_stromal_tumor nodes,sAB
0,coex_KDN,37,49,-0.117255010112153
1,coex_BST,24,37,-0.11764193660745392
2,coex_OVR,23,39,-0.32092361190721874
3,coex_LNG,31,43,-0.13732298045157076
4,coex_ITI,37,43,-0.011981458202388495
5,coex_VGN,30,42,-0.35396825396825404
6,coex_HRV,12,21,-0.07359307359307365
7,coex_MSG,34,47,0.05263910134581806
8,coex_ADV,22,36,0.0633490073145242
9,coex_EMS,25,41,-0.11355506282335526
10,coex_SMU,25,36,-0.20837887067395244
11,coex_ARG,20,36,-0.23690476190476217
12,coex_TST,36,46,-0.11884352539177567
13,coex_PIT,30,43,0.020733779335244895
14,coex_LVR,26,37,-0.01987794245858754
15,coex_THY,27,36,-0.4880952380952386
16,coex_PNC,25,38,-0.36135338345864687
17,coex_ATC,29,43,-0.15524232948993566
18,coex_BRO,30,41,-0.19239665636092962
19,coex_SKN,28,45,-0.18025657751685142
20,coex_ADS,27,30,0.27320561941251587
21,coex_GEJ,24,38,0.026669496321448882
22,coex_BRB,25,28,-0.2656590413943358
23,coex_UTR,19,41,-0.3177506775067753
24,coex_STM,34,40,0.13215421303656605
25,coex_HRA,19,37,-0.22045454545454546
26,coex_PRS,21,42,-0.3214285714285716
27,coex_ATA,27,32,-0.1540094031605066
28,coex_FIB,25,34,-0.16950149551345972
29,coex_BRC,31,42,-0.21673715884939937
30,coex_ATT,27,37,0.16794182519988965
31,coex_TNV,22,21,0.24335839598997477
32,coex_SPL,27,35,-0.2715651135005974
33,coex_LCL,20,28,-0.04808816914080083
34,coex_CLS,30,44,-0.2484862798986558
35,coex_EMC,29,41,-0.0448102706179192
36,coex_CLT,36,45,-0.09330808080808084
37,coex_core,33,47,0.09631689232753082
38,coex_WBL,30,31,-0.06904635995064323
39,co-essential,13,14,-0.49404761904761907
40,GOBP,8,12,0.7936602870813392
41,ppi,49,50,0.1203628117913833
42,reactome_copathway,27,23,0.11729206963249483
43,MP,12,13,0.1363636363636367
44,HP,25,36,0.0005015147793334673
45,GI_net,29,29,-0.2036352855318373
46,gene_gene_on_CbG_name_mapped,15,17,0.035539215686274606
47,gene_gene_on_GcG_name_mapped,26,36,-0.07950785773366409
48,GOMF,3,4,
