,Layer,Laryngeal_edema nodes,Periodontitis nodes,sAB
0,coex_KDN,42,37,-0.048534798534798584
1,coex_BST,23,22,-0.5659090909090911
2,coex_OVR,32,30,-0.03135080645161281
3,coex_LNG,33,30,-0.3220057720057721
4,coex_ITI,36,33,-0.2504940711462451
5,coex_VGN,33,29,0.17773756298346455
6,coex_HRV,22,20,-0.5158008658008655
7,coex_MSG,36,33,-0.08190601668862563
8,coex_ADV,27,29,-0.2661484593837533
9,coex_EMS,32,25,-0.06313538611925695
10,coex_SMU,29,24,-0.21272056279552554
11,coex_ARG,26,26,-0.012639517345399698
12,coex_TST,31,29,-0.09228772710418998
13,coex_PIT,33,29,-0.04402197728115409
14,coex_LVR,34,32,-0.17223033133849075
15,coex_THY,30,23,-0.025070028011204393
16,coex_PNC,28,30,0.025615763546797954
17,coex_ATC,31,29,-0.18290693362995936
18,coex_BRO,32,26,-0.05930868700265224
19,coex_SKN,34,27,0.009932659932659904
20,coex_ADS,31,25,-0.23211981566820272
21,coex_GEJ,31,28,-0.1735109717868335
22,coex_BRB,25,21,-0.01726190476190448
23,coex_UTR,19,23,-0.008918128654970214
24,coex_STM,38,33,-0.17110317406833353
25,coex_HRA,31,27,-0.4713225371120111
26,coex_PRS,28,28,-0.14285714285714302
27,coex_ATA,31,21,0.29086021505376314
28,coex_FIB,27,22,0.128169449598021
29,coex_BRC,29,26,-0.2964997964997964
30,coex_ATT,32,25,-0.08630720482052867
31,coex_TNV,22,17,-0.5230263157894739
32,coex_SPL,40,33,-0.22662411789124115
33,coex_LCL,18,17,0.19915514592933947
34,coex_CLS,34,25,-0.2636494252873567
35,coex_EMC,34,28,-0.09975603144483602
36,coex_CLT,37,24,-0.08749999999999991
37,coex_core,41,32,-0.13675430844012348
38,coex_WBL,33,32,-0.3512529137529137
39,co-essential,4,15,-0.43725490196078454
40,GOBP,21,17,0.7662668872346297
41,ppi,50,49,-0.059643372500515435
42,reactome_copathway,18,28,0.3814102564102564
43,MP,16,11,-1.0697115384615383
44,HP,31,29,0.04851687059695964
45,GI_net,14,22,-0.41323529411764715
46,gene_gene_on_CbG_name_mapped,8,17,-0.12029411764705888
47,gene_gene_on_GcG_name_mapped,30,31,-0.29508196721311486
48,GOMF,7,1,
