,Layer,Urinary_bladder_inflammation nodes,Periodontitis nodes,sAB
0,coex_KDN,35,37,-0.18407109322602278
1,coex_BST,18,22,-0.3598684210526315
2,coex_OVR,25,30,-0.1990909090909092
3,coex_LNG,27,30,-0.46228070175438596
4,coex_ITI,33,33,-0.13636363636363624
5,coex_VGN,26,29,-0.20136345136345146
6,coex_HRV,17,20,-0.17430555555555527
7,coex_MSG,27,33,-0.06346801346801345
8,coex_ADV,21,29,-0.4566326530612246
9,coex_EMS,21,25,0.033531746031746135
10,coex_SMU,19,24,0.07725836329955271
11,coex_ARG,24,26,-0.07621794871794885
12,coex_TST,26,29,-0.25400289365806605
13,coex_PIT,30,29,-0.2677284239236313
14,coex_LVR,24,32,-0.25027549589260656
15,coex_THY,22,23,-0.0669988925802878
16,coex_PNC,22,30,-0.10524475524475552
17,coex_ATC,29,29,-0.4743431855500819
18,coex_BRO,31,26,-0.09278002699055321
19,coex_SKN,26,27,-0.0064371337956243835
20,coex_ADS,23,25,0.029748549323017404
21,coex_GEJ,19,28,-0.0628654970760234
22,coex_BRB,22,21,-0.28302124232356807
23,coex_UTR,18,23,-0.1779605263157893
24,coex_STM,25,33,-0.37304075235109724
25,coex_HRA,19,27,-0.1491003148897887
26,coex_PRS,19,28,-0.04525275955847041
27,coex_ATA,27,21,0.1434782608695655
28,coex_FIB,16,22,-0.21411483253588526
29,coex_BRC,24,26,-0.09023274861784181
30,coex_ATT,22,25,-0.052795031055900665
31,coex_TNV,17,17,-0.375
32,coex_SPL,27,33,-0.6040404040404039
33,coex_LCL,15,17,0.20000000000000018
34,coex_CLS,24,25,-0.14583333333333348
35,coex_EMC,24,28,-0.15293508707830972
36,coex_CLT,31,24,-0.0876955034213096
37,coex_core,29,32,-0.03939562476826075
38,coex_WBL,24,32,0.2708333333333335
39,co-essential,10,15,-0.3466666666666667
40,GOBP,5,17,0.773076923076923
41,ppi,50,49,-0.13176458462172724
42,reactome_copathway,26,28,-0.13043478260869557
43,MP,7,11,-0.9180672268907561
44,HP,25,29,0.0347892720306513
45,GI_net,22,22,-0.6058441558441559
46,gene_gene_on_CbG_name_mapped,19,17,-0.25722394220846234
47,gene_gene_on_GcG_name_mapped,31,31,-0.4838709677419355
48,GOMF,3,1,
