,Layer,Disorder_of_lung nodes,Rhinitis nodes,sAB
0,coex_KDN,35,30,0.1473039215686276
1,coex_BST,21,18,0.22938596491228092
2,coex_OVR,27,20,0.24686761229314413
3,coex_LNG,34,37,0.45791316526610615
4,coex_ITI,26,22,0.049096736596736745
5,coex_VGN,27,22,0.22156943585514988
6,coex_HRV,19,18,0.1470588235294117
7,coex_MSG,33,26,0.15039903599225646
8,coex_ADV,19,20,-0.061245455982298136
9,coex_EMS,20,23,0.36771276016127263
10,coex_SMU,18,19,0.24091196459617503
11,coex_ARG,16,20,-0.025694444444444464
12,coex_TST,29,33,0.027606431388411456
13,coex_PIT,24,33,0.19996012759170645
14,coex_LVR,25,22,0.19474637681159424
15,coex_THY,24,19,0.5601795185638516
16,coex_PNC,26,24,0.12239778854685657
17,coex_ATC,24,23,0.22453102453102458
18,coex_BRO,26,37,0.5206992706992706
19,coex_SKN,30,23,0.09112422398426467
20,coex_ADS,20,17,-0.15161678706570347
21,coex_GEJ,19,24,0.5569444444444445
22,coex_BRB,19,30,0.9215985978641883
23,coex_UTR,12,20,0.06489234449760772
24,coex_STM,29,27,0.24313537675606645
25,coex_HRA,20,18,0.21257309941520486
26,coex_PRS,22,22,0.3271670190274838
27,coex_ATA,24,20,0.09919420644634824
28,coex_FIB,18,17,-0.08823529411764675
29,coex_BRC,25,21,0.050807453416148896
30,coex_ATT,22,21,0.30952380952380976
31,coex_TNV,18,16,0.17386363636363633
32,coex_SPL,25,22,0.2608123791102517
33,coex_LCL,10,13,0.18095238095238075
34,coex_CLS,25,23,-0.003297101449275086
35,coex_EMC,29,21,0.0499014972419225
36,coex_CLT,30,23,0.11374393017395024
37,coex_core,34,25,0.46856060606060623
38,coex_WBL,27,19,0.598468899521531
39,co-essential,4,3,-1.166666666666667
40,GOBP,14,23,1.3240212472949042
41,ppi,49,46,-0.0023467052724981396
42,reactome_copathway,21,14,-0.3335421888053465
43,MP,12,11,1.0909090909090908
44,HP,24,33,0.31798245614035103
45,GI_net,22,20,-0.014879215777803712
46,gene_gene_on_CbG_name_mapped,19,9,-0.13805346700083554
47,gene_gene_on_GcG_name_mapped,36,27,0.22751322751322722
48,GOMF,8,1,
