,Layer,Thrombophlebitis nodes,Thrombophilia nodes,sAB
0,coex_KDN,38,37,-0.5453911806543386
1,coex_BST,24,17,-0.8300753228120517
2,coex_OVR,25,17,-0.6143977591036416
3,coex_LNG,32,24,-0.7224702380952384
4,coex_ITI,28,20,-0.5738095238095238
5,coex_VGN,28,27,-0.598989898989899
6,coex_HRV,16,18,-0.19995915032679745
7,coex_MSG,33,28,-0.5879462067986656
8,coex_ADV,22,19,-0.344703221468305
9,coex_EMS,26,16,-0.5881410256410258
10,coex_SMU,26,18,-0.6445221445221445
11,coex_ARG,27,15,-0.6222013758599123
12,coex_TST,35,28,-0.7206349206349207
13,coex_PIT,32,25,-0.7253537068477647
14,coex_LVR,42,43,-0.734921773587484
15,coex_THY,24,19,-0.9703182374541
16,coex_PNC,31,25,-0.7988479262672812
17,coex_ATC,24,20,-0.24090909090909074
18,coex_BRO,29,24,-0.5315934065934067
19,coex_SKN,29,22,-0.7120853858784892
20,coex_ADS,25,20,-0.9444444444444446
21,coex_GEJ,24,15,-0.9445512820512822
22,coex_BRB,15,16,-0.6840725806451611
23,coex_UTR,21,10,-0.3958781362007169
24,coex_STM,30,25,-0.5375757575757578
25,coex_HRA,25,21,-0.5478811369509047
26,coex_PRS,28,19,-0.8273676211806109
27,coex_ATA,27,20,-1.233806146572104
28,coex_FIB,27,14,-0.5876887340301973
29,coex_BRC,29,19,-0.9181412583182096
30,coex_ATT,28,23,-0.7494142101284957
31,coex_TNV,18,16,-1.5398809523809522
32,coex_SPL,38,38,-0.8157894736842105
33,coex_LCL,26,12,-0.7672064777327936
34,coex_CLS,26,17,-0.8380511417447121
35,coex_EMC,29,25,-0.673915343915344
36,coex_CLT,27,20,-0.5262608353033886
37,coex_core,29,25,-0.5345767195767195
38,coex_WBL,30,28,-0.6277914614121509
39,co-essential,15,10,-0.24333333333333362
40,GOBP,25,28,-0.41221509971509973
41,ppi,50,50,-0.42000000000000004
42,reactome_copathway,28,29,-0.6744505494505494
43,MP,9,13,-0.7769230769230768
44,HP,36,40,-0.3606606606606606
45,GI_net,25,17,-0.4608403361344535
46,gene_gene_on_CbG_name_mapped,23,25,-0.814963768115942
47,gene_gene_on_GcG_name_mapped,34,33,-0.7770040173464232
48,GOMF,4,4,
