,Layer,Cardiomyopathy nodes,Ischemic_stroke nodes,sAB
0,coex_KDN,31,38,0.10392829900839051
1,coex_BST,14,26,-0.0475274725274728
2,coex_OVR,17,32,0.004839435774309564
3,coex_LNG,22,35,0.1511904761904761
4,coex_ITI,25,36,0.12361111111111112
5,coex_VGN,22,29,-0.06366402360317158
6,coex_HRV,25,24,0.6318367346938776
7,coex_MSG,30,37,0.09557617318811329
8,coex_ADV,16,25,-0.1339743589743594
9,coex_EMS,19,31,0.20313071465145205
10,coex_SMU,15,25,0.31999999999999984
11,coex_ARG,14,26,-0.05527684875510941
12,coex_TST,28,39,0.01528101528101522
13,coex_PIT,20,30,-0.19306826178747372
14,coex_LVR,19,37,0.06291912212964856
15,coex_THY,16,34,0.46180733162830334
16,coex_PNC,17,31,0.028423466160658162
17,coex_ATC,29,29,0.22413793103448265
18,coex_BRO,24,33,0.2285685805422646
19,coex_SKN,22,35,-0.040476190476190554
20,coex_ADS,23,31,-0.02977850697292883
21,coex_GEJ,20,25,0.10225813980627851
22,coex_BRB,19,26,0.12913875598086122
23,coex_UTR,9,26,0.38653594771241817
24,coex_STM,25,35,0.08428571428571408
25,coex_HRA,26,25,0.40848639455782276
26,coex_PRS,20,30,0.2033802177858437
27,coex_ATA,18,32,0.06206568648964916
28,coex_FIB,12,25,0.3308982683982684
29,coex_BRC,18,28,0.059092477570738655
30,coex_ATT,23,32,-0.06151441376639166
31,coex_TNV,22,28,0.14943907156673086
32,coex_SPL,17,35,0.10523594053005803
33,coex_LCL,11,10,0.3624999999999998
34,coex_CLS,19,29,0.053594771241829875
35,coex_EMC,19,30,-0.20504385964912264
36,coex_CLT,21,35,0.03506493506493524
37,coex_core,29,37,0.12277902902902893
38,coex_WBL,25,25,0.6266666666666665
39,co-essential,4,2,-0.33333333333333304
40,GOBP,16,20,1.043300653594771
41,ppi,48,47,0.21090425531914891
42,reactome_copathway,21,25,0.5476735316552248
43,MP,19,16,-0.21464646464646453
44,HP,34,36,0.7577030812324932
45,GI_net,17,15,0.34620098039215685
46,gene_gene_on_CbG_name_mapped,14,15,-0.03981937602627261
47,gene_gene_on_GcG_name_mapped,24,29,0.038982867057037796
48,GOMF,2,3,
