,Layer,Crohn_disease nodes,Vitiligo nodes,sAB
0,coex_KDN,35,36,-0.14119718309859142
1,coex_BST,27,20,0.0489952718676121
2,coex_OVR,28,27,-0.17775742775742742
3,coex_LNG,27,31,-0.24508713385242853
4,coex_ITI,38,32,-0.009774436090225658
5,coex_VGN,26,28,-0.2742183288409701
6,coex_HRV,19,16,-0.2700163398692812
7,coex_MSG,35,28,0.00793650793650813
8,coex_ADV,25,20,0.1894444444444443
9,coex_EMS,23,22,-0.11181379007465964
10,coex_SMU,21,20,-0.3380371660859467
11,coex_ARG,23,21,-0.050682507583417635
12,coex_TST,26,31,-0.21509729659135424
13,coex_PIT,29,24,-0.2642140468227425
14,coex_LVR,30,25,-0.1597956577266919
15,coex_THY,24,25,0.20391156462585025
16,coex_PNC,24,22,-0.6557539682539684
17,coex_ATC,28,26,0.0902523402523403
18,coex_BRO,26,29,0.1757414998794311
19,coex_SKN,24,26,-0.010705128205128034
20,coex_ADS,23,23,-0.3750548967940275
21,coex_GEJ,28,22,0.3087012987012985
22,coex_BRB,17,21,-0.16629570747217803
23,coex_UTR,18,16,-0.2156862745098036
24,coex_STM,32,27,-0.29596319628647216
25,coex_HRA,23,19,-0.3149613544350387
26,coex_PRS,23,20,-0.26893326592517663
27,coex_ATA,30,26,-0.2664835164835164
28,coex_FIB,17,17,0.11764705882352944
29,coex_BRC,23,24,-0.10195035460992896
30,coex_ATT,23,27,-0.1727650656222084
31,coex_TNV,24,18,-0.2490079365079363
32,coex_SPL,31,30,-0.29591045302309205
33,coex_LCL,17,18,-0.3860802385470319
34,coex_CLS,32,25,0.07875576036866372
35,coex_EMC,27,27,-0.040652045369026446
36,coex_CLT,37,29,-0.1773066169617894
37,coex_core,35,30,-0.14626225490196076
38,coex_WBL,34,32,-0.21212121212121215
39,co-essential,10,7,0.17460317460317443
40,GOBP,13,17,0.4033333333333333
41,ppi,50,49,-0.021387342815914145
42,reactome_copathway,30,17,0.5439007321274762
43,MP,11,17,-0.14848484848484844
44,HP,25,37,0.3025632083696601
45,GI_net,16,13,-0.2250000000000001
46,gene_gene_on_CbG_name_mapped,16,6,-0.40435606060606055
47,gene_gene_on_GcG_name_mapped,29,24,-0.2104613966601605
48,GOMF,6,9,
