,Layer,Diarrhea nodes,Otitis_media nodes,sAB
0,coex_KDN,25,35,-0.04887337986041862
1,coex_BST,11,27,0.3303030303030301
2,coex_OVR,7,32,-0.36750228937728924
3,coex_LNG,14,43,0.15057993821763693
4,coex_ITI,29,32,0.01004275014132272
5,coex_VGN,9,30,0.12763157894736876
6,coex_HRV,6,21,-0.20105820105820138
7,coex_MSG,15,42,-0.22891986062717762
8,coex_ADV,11,29,-0.4377289377289375
9,coex_EMS,7,27,-0.11220043572984784
10,coex_SMU,8,27,-0.07076719576719581
11,coex_ARG,9,21,0.34920634920634885
12,coex_TST,18,35,0.06846361185983829
13,coex_PIT,10,36,-0.06825396825396801
14,coex_LVR,13,32,0.39938568376068373
15,coex_THY,16,32,-0.18229166666666652
16,coex_PNC,12,27,0.2887989203778676
17,coex_ATC,11,34,-0.07055852644087945
18,coex_BRO,14,35,0.37815126050420167
19,coex_SKN,7,31,0.02561132561132551
20,coex_ADS,5,30,-0.4915966386554622
21,coex_GEJ,13,35,-0.4217531529796861
22,coex_BRB,7,30,0.3869731800766285
23,coex_UTR,6,19,0.2032828282828283
24,coex_STM,16,33,0.014668367346938771
25,coex_HRA,8,26,-0.19791666666666652
26,coex_PRS,6,34,-0.16666666666666696
27,coex_ATA,6,31,-0.1716216216216213
28,coex_FIB,7,24,-0.6747412008281577
29,coex_BRC,10,29,0.03545534924845306
30,coex_ATT,6,29,-0.6819472616632858
31,coex_TNV,12,22,0.09491978609625695
32,coex_SPL,18,31,0.2134262307073369
33,coex_LCL,10,19,-0.1399572649572649
34,coex_CLS,23,30,0.4780590473993771
35,coex_EMC,15,33,-0.4343741365017961
36,coex_CLT,23,33,0.17272727272727284
37,coex_core,17,36,0.053781512605041826
38,coex_WBL,16,30,0.3131298449612401
39,co-essential,4,8,1.25
40,GOBP,22,14,0.8792540792540793
41,ppi,49,49,-0.03061224489795933
42,reactome_copathway,18,26,0.34150537634408584
43,MP,18,14,0.36026023312550803
44,HP,44,35,0.4186720142602496
45,GI_net,15,26,-0.514010989010989
46,gene_gene_on_CbG_name_mapped,12,8,0.2666666666666666
47,gene_gene_on_GcG_name_mapped,30,26,-0.1345238095238095
48,GOMF,6,6,
