,Layer,Spondylolysis nodes,Spinal_cord_tumor nodes,sAB
0,coex_KDN,40,44,-0.6792207792207792
1,coex_BST,29,33,-0.6962374772313296
2,coex_OVR,28,33,-0.5608810588318787
3,coex_LNG,35,40,-0.6766062766062764
4,coex_ITI,36,41,-0.7117120684193854
5,coex_VGN,33,36,-0.6808300395256917
6,coex_HRV,19,21,-0.4517543859649118
7,coex_MSG,34,40,-0.6194753577106518
8,coex_ADV,24,29,-0.76389340707005
9,coex_EMS,28,34,-0.6707441040932502
10,coex_SMU,29,36,-0.688527851458886
11,coex_ARG,25,32,-0.38304824561403494
12,coex_TST,37,42,-0.6226968378867114
13,coex_PIT,39,45,-0.7071302754879165
14,coex_LVR,34,36,-0.501844070961718
15,coex_THY,37,37,-0.9594594594594592
16,coex_PNC,34,42,-0.8791463954002652
17,coex_ATC,31,36,-0.7145656127962343
18,coex_BRO,36,40,-0.7547117794486216
19,coex_SKN,34,38,-0.7775028549676437
20,coex_ADS,31,32,-0.740759408602151
21,coex_GEJ,29,35,-0.6813115763546798
22,coex_BRB,27,29,-0.7546203796203799
23,coex_UTR,25,31,-0.8440322580645163
24,coex_STM,37,40,-0.8352623727623727
25,coex_HRA,28,35,-0.7720942140296978
26,coex_PRS,32,35,-0.6611940298507462
27,coex_ATA,26,35,-1.0763105746712303
28,coex_FIB,28,35,-0.8845238095238097
29,coex_BRC,31,37,-0.5555413098107593
30,coex_ATT,36,36,-0.7916666666666667
31,coex_TNV,21,15,-0.7904761904761903
32,coex_SPL,32,36,-0.7334558823529411
33,coex_LCL,18,28,-0.7966200466200466
34,coex_CLS,37,40,-0.6237056862056862
35,coex_EMC,33,34,-0.7175802139037433
36,coex_CLT,38,40,-0.5497132253711201
37,coex_core,34,39,-0.7560590094836672
38,coex_WBL,29,34,-0.8742232525193987
39,co-essential,9,13,0.03548534798534764
40,GOBP,11,10,-0.2996411483253585
41,ppi,48,49,-0.5874864120906096
42,reactome_copathway,16,18,-1.0280112044817924
43,MP,12,12,-1.0106060606060607
44,HP,31,34,-0.5197358513297791
45,GI_net,22,21,-0.693320245645827
46,gene_gene_on_CbG_name_mapped,11,8,-0.8038277511961722
47,gene_gene_on_GcG_name_mapped,33,31,-0.5416513929618767
48,GOMF,3,5,
