,Layer,Pyelonephritis nodes,Cholangitis nodes,sAB
0,coex_KDN,40,38,-0.356941031941032
1,coex_BST,27,20,-0.19321216297700072
2,coex_OVR,29,25,0.08591511936339513
3,coex_LNG,31,29,-0.5369347028040299
4,coex_ITI,37,36,-0.3414578962524166
5,coex_VGN,32,27,-0.18518518518518512
6,coex_HRV,24,22,-0.2765974967061924
7,coex_MSG,33,32,-0.3265952797202798
8,coex_ADV,31,25,-0.4343108504398827
9,coex_EMS,25,22,-0.6147416413373863
10,coex_SMU,25,26,-0.2999999999999998
11,coex_ARG,25,21,-0.3088612836438922
12,coex_TST,30,31,-0.34337211352018326
13,coex_PIT,37,29,-0.28694319319319317
14,coex_LVR,36,30,-0.44166666666666665
15,coex_THY,25,26,-0.23179487179487213
16,coex_PNC,28,26,-0.09003924098263716
17,coex_ATC,31,25,-0.38988095238095277
18,coex_BRO,31,26,-0.4407513821775284
19,coex_SKN,28,26,-0.14059299191374652
20,coex_ADS,23,27,-0.5443143812709028
21,coex_GEJ,29,28,-0.5503184179654768
22,coex_BRB,22,22,-0.590909090909091
23,coex_UTR,22,17,-0.055121349238996586
24,coex_STM,31,31,-0.12903225806451624
25,coex_HRA,27,23,-0.4453450276431643
26,coex_PRS,24,25,-0.1950606329488318
27,coex_ATA,30,21,-0.38445378151260545
28,coex_FIB,22,18,-0.23625394213629525
29,coex_BRC,25,28,-0.4537037037037037
30,coex_ATT,28,22,-0.00416666666666643
31,coex_TNV,19,17,-0.5249398004815964
32,coex_SPL,29,33,-0.6150942124245791
33,coex_LCL,18,14,-0.2921523448088914
34,coex_CLS,33,31,-0.5108294930875574
35,coex_EMC,30,24,-0.3287037037037037
36,coex_CLT,33,30,-0.23845598845598848
37,coex_core,38,35,-0.2608783239323127
38,coex_WBL,29,26,-0.36026954177897563
39,co-essential,5,9,-0.3301282051282053
40,GOBP,12,21,0.13062200956937797
41,ppi,50,48,-0.2632738095238094
42,reactome_copathway,15,23,-0.30050505050505016
43,MP,15,11,-1.3289297658862882
44,HP,16,33,-0.015074211502782875
45,GI_net,27,22,-0.649529042386185
46,gene_gene_on_CbG_name_mapped,14,14,-0.3214285714285713
47,gene_gene_on_GcG_name_mapped,32,28,-0.4677083333333334
48,GOMF,1,4,
