,Layer,Primary_dilated_cardiomyopathy nodes,Germ_cell_tumor_of_testis nodes,sAB
0,coex_KDN,33,39,-0.07378129117259546
1,coex_BST,23,28,0.11668831168831195
2,coex_OVR,27,31,-0.02572817533885363
3,coex_LNG,23,36,0.35927904691721935
4,coex_ITI,31,35,0.10586510263929627
5,coex_VGN,29,36,0.23501642036124792
6,coex_HRV,37,21,0.7196778058847029
7,coex_MSG,42,35,0.2735930735930736
8,coex_ADV,23,25,0.4253006475485659
9,coex_EMS,30,29,0.5740365111561867
10,coex_SMU,32,26,0.38374502652519915
11,coex_ARG,23,29,0.13155922038980528
12,coex_TST,34,42,0.08723455598455576
13,coex_PIT,25,31,0.020645161290322456
14,coex_LVR,21,30,0.10938375350140084
15,coex_THY,27,29,0.55896213104577
16,coex_PNC,14,30,0.23203463203463182
17,coex_ATC,34,33,0.8244206773618536
18,coex_BRO,27,31,0.14127595664098225
19,coex_SKN,27,35,0.15700631507083163
20,coex_ADS,22,29,0.34480519480519467
21,coex_GEJ,22,30,0.42494082272407363
22,coex_BRB,18,17,0.3114845938375348
23,coex_UTR,21,26,0.34204361529942906
24,coex_STM,31,35,0.025038402457757014
25,coex_HRA,39,29,0.6313829205620252
26,coex_PRS,39,33,0.23883061383061355
27,coex_ATA,19,24,0.471995205404816
28,coex_FIB,15,27,0.2862433862433862
29,coex_BRC,26,35,-0.03595641646489067
30,coex_ATT,26,28,0.2431318681318677
31,coex_TNV,21,19,0.019138755980861344
32,coex_SPL,25,30,0.3912121212121211
33,coex_LCL,17,26,0.016328828828829245
34,coex_CLS,29,31,0.1701890989988879
35,coex_EMC,23,32,0.34199158485273506
36,coex_CLT,27,30,0.15567765567765557
37,coex_core,35,36,0.7100840336134455
38,coex_WBL,29,27,0.38379238053929043
39,co-essential,9,15,-0.058661145617667554
40,GOBP,19,10,1.128571428571429
41,ppi,50,50,0.33999999999999986
42,reactome_copathway,18,26,0.5525880145679287
43,MP,20,15,1.4749999999999996
44,HP,43,30,0.9557102303744953
45,GI_net,16,21,-0.05583075335397303
46,gene_gene_on_CbG_name_mapped,11,15,0.1393939393939394
47,gene_gene_on_GcG_name_mapped,31,39,-0.14470046082949306
48,GOMF,1,6,
