,Layer,Essential_hypertension nodes,Erectile_dysfunction nodes,sAB
0,coex_KDN,43,37,-0.1345930232558139
1,coex_BST,25,23,-0.060386473429951515
2,coex_OVR,27,32,-0.1325431034482758
3,coex_LNG,23,28,-0.06730300815978563
4,coex_ITI,33,34,-0.07323675738952296
5,coex_VGN,29,33,-0.38847878113729073
6,coex_HRV,19,20,-0.27836257309941503
7,coex_MSG,35,37,-0.20937365937365948
8,coex_ADV,24,22,-0.0548418972332021
9,coex_EMS,22,31,0.01804915514592942
10,coex_SMU,18,29,-0.2909839406537862
11,coex_ARG,24,23,-0.1784365393061047
12,coex_TST,33,36,-0.2779973649538867
13,coex_PIT,29,36,0.0010315355142940241
14,coex_LVR,24,29,-0.3719095640858816
15,coex_THY,19,28,-0.1127019676851706
16,coex_PNC,27,28,-0.18930976430976454
17,coex_ATC,25,28,-0.17268194070080822
18,coex_BRO,24,32,-0.27083333333333304
19,coex_SKN,28,30,-0.040935672514619714
20,coex_ADS,19,28,-0.3037439613526569
21,coex_GEJ,22,26,-0.24841269841269842
22,coex_BRB,20,24,-0.44841269841269815
23,coex_UTR,15,19,0.23869969040247652
24,coex_STM,28,35,-0.08492063492063484
25,coex_HRA,22,30,-0.049140708915145215
26,coex_PRS,21,31,-0.07198983811887016
27,coex_ATA,24,26,0.13301282051282026
28,coex_FIB,20,23,0.2287606488505074
29,coex_BRC,29,33,-0.383911416725655
30,coex_ATT,23,31,-0.07028440214684917
31,coex_TNV,15,23,-0.3777269260106788
32,coex_SPL,24,30,-0.14546076018594478
33,coex_LCL,17,22,-0.20042753943682756
34,coex_CLS,33,30,-0.3863911290322579
35,coex_EMC,25,28,-0.34867924528301897
36,coex_CLT,35,29,-0.12617920731511
37,coex_core,30,33,-0.13684461560203465
38,coex_WBL,22,29,-0.04876847290640374
39,co-essential,6,10,0.583333333333333
40,GOBP,13,7,0.5654761904761907
41,ppi,50,50,0.020000000000000018
42,reactome_copathway,16,24,-0.0979729729729728
43,MP,15,12,1.4125457875457879
44,HP,31,30,0.10043187026264766
45,GI_net,17,23,-0.2810758082497209
46,gene_gene_on_CbG_name_mapped,25,21,-0.006128364389233809
47,gene_gene_on_GcG_name_mapped,32,35,-0.3330157249466952
48,GOMF,5,7,
