,Layer,Seizure nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,23,37,-0.14010967489228343
1,coex_BST,15,24,0.028525641025641146
2,coex_OVR,17,21,0.008333333333333304
3,coex_LNG,23,25,-0.10835589941972934
4,coex_ITI,18,35,-0.15336134453781503
5,coex_VGN,18,33,-0.1024955436720143
6,coex_HRV,13,16,-0.3307360742705572
7,coex_MSG,20,32,0.14230769230769225
8,coex_ADV,17,20,0.45433227344992044
9,coex_EMS,17,25,-0.006554621848739561
10,coex_SMU,19,20,-0.12958839406207812
11,coex_ARG,20,25,-0.048373205741626846
12,coex_TST,28,32,-0.1217261904761906
13,coex_PIT,30,35,-0.1556776556776558
14,coex_LVR,19,24,0.06504997960016312
15,coex_THY,15,27,0.0049450549450549275
16,coex_PNC,23,23,-0.08695652173913038
17,coex_ATC,19,29,0.09410919540229878
18,coex_BRO,30,41,-0.21540707660597747
19,coex_SKN,21,31,-0.1740454076367388
20,coex_ADS,11,24,-0.33162055335968343
21,coex_GEJ,19,26,-0.04495614035087714
22,coex_BRB,22,34,0.05175706646294875
23,coex_UTR,15,17,-0.5582107843137258
24,coex_STM,18,29,-0.005869405722670695
25,coex_HRA,21,22,0.08814054162891383
26,coex_PRS,19,24,-0.1459230033476806
27,coex_ATA,17,27,0.2495421245421241
28,coex_FIB,20,17,-0.3090277777777777
29,coex_BRC,27,37,-0.1619925213675213
30,coex_ATT,19,26,-0.026507177033492813
31,coex_TNV,16,23,-0.01547911547911518
32,coex_SPL,22,24,-0.09980158730158717
33,coex_LCL,12,9,0.2545454545454544
34,coex_CLS,20,35,-0.037668463611859826
35,coex_EMC,16,26,0.08894230769230771
36,coex_CLT,19,37,-0.25652814468603946
37,coex_core,17,32,-0.004546173308032975
38,coex_WBL,18,15,-0.36969696969696964
39,co-essential,9,9,0.24918300653594772
40,GOBP,17,23,-0.1676136363636367
41,ppi,49,49,-0.06122448979591821
42,reactome_copathway,18,17,-0.08805740037950649
43,MP,9,10,-0.48611111111111116
44,HP,44,35,-0.054280603117812465
45,GI_net,22,12,-0.2846320346320348
46,gene_gene_on_CbG_name_mapped,17,18,-0.11601307189542487
47,gene_gene_on_GcG_name_mapped,34,29,-0.2070736340513215
48,GOMF,3,3,
