,Layer,Chorea nodes,Enterocolitis nodes,sAB
0,coex_KDN,41,39,0.14327440243089984
1,coex_BST,35,16,0.17664565826330536
2,coex_OVR,37,29,0.12718596059113274
3,coex_LNG,39,33,0.48679098679098676
4,coex_ITI,42,30,0.2059523809523811
5,coex_VGN,40,27,0.15064262023217245
6,coex_HRV,16,21,0.03856981981981944
7,coex_MSG,41,34,0.06100908656145365
8,coex_ADV,31,34,0.3079301075268819
9,coex_EMS,36,26,0.20346083788706748
10,coex_SMU,35,25,-0.04476190476190478
11,coex_ARG,37,27,0.020630005005005003
12,coex_TST,43,29,0.1389334402566158
13,coex_PIT,41,31,0.2947810123262522
14,coex_LVR,33,35,0.0545709192768018
15,coex_THY,32,27,0.49746632060313933
16,coex_PNC,37,25,0.12008718395815166
17,coex_ATC,35,35,0.3894957983193277
18,coex_BRO,42,32,0.7561023083559539
19,coex_SKN,39,29,-0.05514323984473268
20,coex_ADS,30,23,0.6146103896103896
21,coex_GEJ,40,30,0.5650777552400275
22,coex_BRB,26,26,0.390769230769231
23,coex_UTR,30,18,0.11274509803921529
24,coex_STM,39,30,0.3670278637770896
25,coex_HRA,40,22,0.09860703812316718
26,coex_PRS,34,26,0.10445663010967099
27,coex_ATA,30,31,0.44173276925788807
28,coex_FIB,33,18,0.0574866310160429
29,coex_BRC,43,24,-0.19321628826178916
30,coex_ATT,34,29,0.37419193542626505
31,coex_TNV,16,22,0.3348214285714288
32,coex_SPL,36,32,0.16176470588235303
33,coex_LCL,26,21,0.09690635451505014
34,coex_CLS,35,30,0.21474753694581272
35,coex_EMC,39,30,-0.04670876387294287
36,coex_CLT,38,28,0.16944819313240345
37,coex_core,41,39,0.30099445897856714
38,coex_WBL,36,33,0.014053579270970618
39,co-essential,11,9,0.05087719298245563
40,GOBP,20,18,0.6644942067736186
41,ppi,49,50,0.37328592042877773
42,reactome_copathway,18,28,0.4803963414634147
43,MP,12,18,1.4166666666666665
44,HP,42,31,0.9828714517181152
45,GI_net,20,28,0.3469785575048734
46,gene_gene_on_CbG_name_mapped,12,15,-0.06481481481481466
47,gene_gene_on_GcG_name_mapped,39,29,0.031193113850314758
48,GOMF,3,7,
