,Layer,Erythroderma nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,30,33,0.0042314243133914076
1,coex_BST,18,27,0.1412198912198912
2,coex_OVR,34,20,0.3764161220043576
3,coex_LNG,28,29,0.07612732095490715
4,coex_ITI,26,29,0.17130455751145401
5,coex_VGN,38,25,0.3505263157894736
6,coex_HRV,11,9,0.15906432748538046
7,coex_MSG,36,29,0.5946890394088671
8,coex_ADV,18,19,-0.3303405572755418
9,coex_EMS,28,19,0.556073153899241
10,coex_SMU,19,21,0.14110953058321485
11,coex_ARG,13,20,0.10000000000000009
12,coex_TST,23,31,0.07223482543019966
13,coex_PIT,21,30,0.09313725490196045
14,coex_LVR,25,18,0.08452196382428934
15,coex_THY,22,20,-0.09935064935064908
16,coex_PNC,18,19,0.02777777777777768
17,coex_ATC,22,21,0.0
18,coex_BRO,20,30,-0.06377551020408179
19,coex_SKN,37,20,0.1325396825396825
20,coex_ADS,31,20,0.6914091680814942
21,coex_GEJ,30,17,0.17600574712643668
22,coex_BRB,12,22,0.1076839826839826
23,coex_UTR,14,20,0.16223776223776243
24,coex_STM,26,21,0.1600810536980748
25,coex_HRA,18,18,0.056168300653594905
26,coex_PRS,27,28,0.0
27,coex_ATA,20,19,0.20398110661268554
28,coex_FIB,16,19,0.08839285714285694
29,coex_BRC,20,31,0.010628183361629517
30,coex_ATT,23,20,-0.12639553429027117
31,coex_TNV,21,17,1.5
32,coex_SPL,27,21,0.07389676910953513
33,coex_LCL,14,16,0.03571428571428603
34,coex_CLS,26,25,0.22782312925170078
35,coex_EMC,35,21,0.32765181544315847
36,coex_CLT,27,27,0.07549857549857553
37,coex_core,38,24,0.435560468353394
38,coex_WBL,24,22,0.038690476190476275
39,co-essential,6,8,-0.7847985347985342
40,GOBP,22,26,1.1974206349206349
41,ppi,49,50,0.2946052360338076
42,reactome_copathway,23,18,-0.036904761904761774
43,MP,17,24,1.835576923076923
44,HP,47,49,0.7718148429584599
45,GI_net,20,17,-0.33838383838383823
46,gene_gene_on_CbG_name_mapped,8,10,0.07777777777777772
47,gene_gene_on_GcG_name_mapped,17,37,-0.06856856856856863
48,GOMF,11,4,
