,Layer,Sinusitis nodes,Goiter nodes,sAB
0,coex_KDN,39,34,0.11683006535947715
1,coex_BST,21,19,0.7713032581453634
2,coex_OVR,26,27,0.2840170940170941
3,coex_LNG,41,27,0.1780405682844708
4,coex_ITI,34,26,0.10045248868778267
5,coex_VGN,27,26,0.21153846153846168
6,coex_HRV,21,11,0.3583333333333334
7,coex_MSG,35,31,0.18973607038123186
8,coex_ADV,23,19,0.6404189520364101
9,coex_EMS,19,20,-0.1315789473684208
10,coex_SMU,26,19,0.11650717703349267
11,coex_ARG,19,20,0.1578947368421053
12,coex_TST,36,22,0.3190961337513061
13,coex_PIT,31,29,0.023859844271412634
14,coex_LVR,26,22,0.07785299806576429
15,coex_THY,33,29,0.4118717767216098
16,coex_PNC,25,20,0.06555555555555559
17,coex_ATC,33,24,0.21072567783094098
18,coex_BRO,32,23,0.27241161616161635
19,coex_SKN,27,21,-0.04304029304029289
20,coex_ADS,30,17,0.556082375478927
21,coex_GEJ,29,23,0.25927750410509054
22,coex_BRB,28,14,0.4555405608037191
23,coex_UTR,18,19,0.24284811126916406
24,coex_STM,33,25,0.24950888192267495
25,coex_HRA,19,18,0.13888888888888928
26,coex_PRS,26,20,-0.20091973244147177
27,coex_ATA,25,19,0.2323031415748673
28,coex_FIB,19,23,-0.00027242018088724507
29,coex_BRC,22,23,0.13636363636363624
30,coex_ATT,29,20,-0.07515833919774817
31,coex_TNV,19,10,0.6650641025641022
32,coex_SPL,32,28,-0.10238095238095224
33,coex_LCL,23,22,-0.0021645021645022577
34,coex_CLS,28,22,0.01993506493506514
35,coex_EMC,33,21,-0.009860509860510014
36,coex_CLT,31,26,0.2619607330982543
37,coex_core,35,28,0.3753968253968252
38,coex_WBL,35,21,-0.030952380952380842
39,co-essential,5,11,0.435227272727273
40,GOBP,18,16,2.0991071428571426
41,ppi,48,42,0.2789682539682541
42,reactome_copathway,18,10,0.13238636363636358
43,MP,13,13,2.8814102564102564
44,HP,44,48,0.48622653941802896
45,GI_net,23,20,-0.10210308379644806
46,gene_gene_on_CbG_name_mapped,8,16,0.14583333333333326
47,gene_gene_on_GcG_name_mapped,24,22,-0.01852766798418992
48,GOMF,4,2,
