,Layer,Gingival_disorder nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,40,33,-0.15289539227895377
1,coex_BST,21,27,-0.07224080267558541
2,coex_OVR,34,20,0.18306100217864918
3,coex_LNG,36,29,0.11359298029556619
4,coex_ITI,38,29,-0.05825229569033219
5,coex_VGN,32,25,0.11889254385964931
6,coex_HRV,20,9,0.31532567049808424
7,coex_MSG,35,29,0.2991533251231526
8,coex_ADV,36,19,-0.061219482272114156
9,coex_EMS,30,19,0.12537702779815785
10,coex_SMU,32,21,0.1908653846153845
11,coex_ARG,30,20,0.27833333333333377
12,coex_TST,33,31,0.13506537145650066
13,coex_PIT,34,30,-0.08394607843137258
14,coex_LVR,40,18,0.11617183985605051
15,coex_THY,33,20,-0.13389423076923102
16,coex_PNC,30,19,0.08333333333333348
17,coex_ATC,29,21,0.1431527093596059
18,coex_BRO,28,30,0.3336466165413534
19,coex_SKN,35,20,0.15724400871459698
20,coex_ADS,27,20,0.2757984705353129
21,coex_GEJ,28,17,0.26717032967032983
22,coex_BRB,22,22,0.3038608678143562
23,coex_UTR,29,20,0.20654761904761942
24,coex_STM,36,21,0.07142857142857117
25,coex_HRA,27,18,0.20740740740740726
26,coex_PRS,34,28,0.1296653451909
27,coex_ATA,29,19,0.04713245880659089
28,coex_FIB,27,19,0.16988727858293085
29,coex_BRC,30,31,0.37495365220615495
30,coex_ATT,30,20,0.2695646857422349
31,coex_TNV,21,17,1.4403153153153156
32,coex_SPL,43,21,0.030001845699520135
33,coex_LCL,23,16,0.3127705627705626
34,coex_CLS,31,25,0.24444444444444446
35,coex_EMC,32,21,0.08890667115902962
36,coex_CLT,35,27,0.0934966672671591
37,coex_core,38,24,0.12103407755581674
38,coex_WBL,35,22,-0.01798941798941822
39,co-essential,14,8,0.6309523809523814
40,GOBP,18,26,1.3872863247863254
41,ppi,49,50,0.22327973613687901
42,reactome_copathway,26,18,-0.03530961791831366
43,MP,12,24,1.6556372549019613
44,HP,46,49,0.5779666557698593
45,GI_net,23,17,-0.0980392156862746
46,gene_gene_on_CbG_name_mapped,8,10,-0.1513888888888888
47,gene_gene_on_GcG_name_mapped,25,37,-0.23583260680034868
48,GOMF,3,4,
