,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Status_epilepticus nodes,sAB
0,coex_KDN,32,28,-0.2830357142857145
1,coex_BST,24,16,-0.2508009153318076
2,coex_OVR,16,14,0.18809523809523787
3,coex_LNG,25,19,-0.01047846889952142
4,coex_ITI,30,24,0.10782639340707001
5,coex_VGN,30,22,0.09943977591036424
6,coex_HRV,15,18,0.1717171717171717
7,coex_MSG,25,22,0.16162475822050304
8,coex_ADV,22,13,-0.12887112887112862
9,coex_EMS,22,17,0.011346496640614046
10,coex_SMU,21,15,-0.08809523809523823
11,coex_ARG,26,16,-0.1942536630036631
12,coex_TST,31,23,0.005973715651135025
13,coex_PIT,33,26,0.04514106583072075
14,coex_LVR,21,20,0.07256097560975627
15,coex_THY,23,18,0.08960763520678672
16,coex_PNC,30,17,0.023723432401446143
17,coex_ATC,25,18,0.07883720930232574
18,coex_BRO,42,33,0.06316017316017297
19,coex_SKN,22,16,-0.19325128700128724
20,coex_ADS,19,16,0.018586601307189365
21,coex_GEJ,23,15,0.357459505541347
22,coex_BRB,34,26,-0.16583710407239804
23,coex_UTR,17,11,0.22020626432391133
24,coex_STM,28,22,0.15201298701298693
25,coex_HRA,24,15,0.08846153846153859
26,coex_PRS,20,13,-0.15751748251748277
27,coex_ATA,20,17,-0.19797041623666978
28,coex_FIB,17,12,-0.4568965517241379
29,coex_BRC,36,32,-0.15375289900906597
30,coex_ATT,22,18,0.0874125874125875
31,coex_TNV,22,21,0.10081300813008154
32,coex_SPL,21,15,-0.03174603174603163
33,coex_LCL,12,9,0.16865079365079394
34,coex_CLS,30,25,0.005757575757575406
35,coex_EMC,22,16,0.15400717703349276
36,coex_CLT,25,22,-0.020406189555125742
37,coex_core,28,23,0.060909090909091024
38,coex_WBL,14,20,0.9615546218487392
39,co-essential,7,6,-0.6163003663003668
40,GOBP,27,20,0.35018869849041234
41,ppi,49,49,0.05102040816326525
42,reactome_copathway,19,20,0.5537037037037036
43,MP,11,13,0.3605042016806719
44,HP,37,24,-0.09249926155663868
45,GI_net,18,20,0.08451872925557158
46,gene_gene_on_CbG_name_mapped,20,24,-0.028787878787878807
47,gene_gene_on_GcG_name_mapped,31,36,-0.12627052907505476
48,GOMF,6,1,
