,Layer,Methylmalonic_acidemia nodes,Myocardial_ischemia nodes,sAB
0,coex_KDN,43,40,0.2951190424247714
1,coex_BST,41,19,0.2116806761287955
2,coex_OVR,36,24,0.3427290591992138
3,coex_LNG,40,25,0.4093749999999998
4,coex_ITI,39,29,0.42441618557237204
5,coex_VGN,38,22,0.18725840023788276
6,coex_HRV,27,19,1.0339937839937843
7,coex_MSG,40,30,0.07797619047619042
8,coex_ADV,35,15,0.8257142857142861
9,coex_EMS,37,9,-0.03819036427732048
10,coex_SMU,37,12,0.13902538902538897
11,coex_ARG,38,10,0.5058790593505038
12,coex_TST,41,28,0.22837448871383126
13,coex_PIT,39,26,0.1801121794871796
14,coex_LVR,39,28,0.20369104579630903
15,coex_THY,37,18,1.5357142857142856
16,coex_PNC,41,14,0.851346214760849
17,coex_ATC,37,18,0.4198262952979932
18,coex_BRO,37,26,0.41372275501307776
19,coex_SKN,38,13,0.11848059061681315
20,coex_ADS,23,16,0.6476797658862878
21,coex_GEJ,36,16,0.057460317460317434
22,coex_BRB,22,22,0.44055169636565017
23,coex_UTR,35,9,0.2660173160173165
24,coex_STM,37,29,0.4321782597644668
25,coex_HRA,39,15,0.3587858220211162
26,coex_PRS,36,17,0.028348131705512092
27,coex_ATA,28,15,0.8809523809523814
28,coex_FIB,38,14,0.4514035087719299
29,coex_BRC,42,20,0.5555299539170506
30,coex_ATT,37,15,0.12918918918918942
31,coex_TNV,17,18,0.061998132586368104
32,coex_SPL,36,17,0.14052287581699385
33,coex_LCL,35,13,0.2642785319255907
34,coex_CLS,39,17,0.22238924597415188
35,coex_EMC,36,17,0.21274509803921582
36,coex_CLT,37,23,0.5332623263657748
37,coex_core,36,29,0.6763888888888887
38,coex_WBL,35,27,0.023464240677355086
39,co-essential,10,4,0.8964285714285718
40,GOBP,26,11,0.4244089244089242
41,ppi,48,48,0.2708333333333335
42,reactome_copathway,20,16,1.2333333333333334
43,MP,9,15,0.10146103896103886
44,HP,35,11,0.5222473178994922
45,GI_net,17,18,0.11764705882352944
46,gene_gene_on_CbG_name_mapped,19,15,0.3919504643962848
47,gene_gene_on_GcG_name_mapped,30,28,-0.03805418719211828
48,GOMF,3,5,
