,Layer,Infection_of_bone nodes,Osteomyelitis nodes,sAB
0,coex_KDN,36,40,-0.962938596491228
1,coex_BST,19,22,-1.2989926739926738
2,coex_OVR,23,27,-1.529370629370629
3,coex_LNG,31,35,-1.7369641111576595
4,coex_ITI,34,38,-1.0000682500682503
5,coex_VGN,27,32,-1.2587005649717513
6,coex_HRV,22,20,-1.9307359307359309
7,coex_MSG,31,37,-1.1720344633058106
8,coex_ADV,25,29,-1.7338253949948101
9,coex_EMS,25,29,-1.759588788493454
10,coex_SMU,18,24,-1.4692460317460316
11,coex_ARG,19,26,-1.19
12,coex_TST,25,30,-1.0363636363636366
13,coex_PIT,24,33,-1.2838915470494419
14,coex_LVR,29,32,-1.4096770774448841
15,coex_THY,24,27,-1.7288943355119826
16,coex_PNC,23,29,-1.1249855841310112
17,coex_ATC,27,37,-1.2020457957957957
18,coex_BRO,23,30,-0.888624555646705
19,coex_SKN,22,29,-1.3982113221464134
20,coex_ADS,25,26,-1.626968325791855
21,coex_GEJ,27,30,-1.6046783625730994
22,coex_BRB,20,25,-1.1905555555555556
23,coex_UTR,13,22,-1.7071428571428573
24,coex_STM,29,31,-1.2708349605561196
25,coex_HRA,21,25,-1.3257575757575757
26,coex_PRS,22,25,-1.3846251266464034
27,coex_ATA,20,27,-1.4915287628053586
28,coex_FIB,12,20,-1.1791666666666667
29,coex_BRC,19,24,-1.4340320277437781
30,coex_ATT,17,26,-1.4718773019046618
31,coex_TNV,16,17,-1.7029411764705884
32,coex_SPL,33,34,-1.3791221033868093
33,coex_LCL,17,20,-1.5917496443812236
34,coex_CLS,29,33,-1.359302995391705
35,coex_EMC,29,35,-1.290071584189231
36,coex_CLT,30,36,-1.0710105985968055
37,coex_core,33,39,-1.0458942107654416
38,coex_WBL,32,38,-1.4059210526315788
39,co-essential,8,9,-2.5845588235294117
40,GOBP,17,21,-1.6458916900093372
41,ppi,50,50,-0.8499999999999999
42,reactome_copathway,24,24,-1.2262895907669267
43,MP,11,9,-2.9994949494949497
44,HP,36,42,-0.9085775335775336
45,GI_net,23,21,-1.486904761904762
46,gene_gene_on_CbG_name_mapped,18,15,-1.0843434343434342
47,gene_gene_on_GcG_name_mapped,30,28,-1.2395320197044335
48,GOMF,6,6,
