,Layer,Asthma nodes,Rheumatoid_arthritis nodes,sAB
0,coex_KDN,27,30,-0.02894736842105261
1,coex_BST,12,13,0.0314102564102563
2,coex_OVR,19,15,-0.2114551083591334
3,coex_LNG,26,25,0.04177978883861222
4,coex_ITI,25,27,-0.007663817663817518
5,coex_VGN,18,22,0.10561660561660524
6,coex_HRV,12,16,0.04613095238095255
7,coex_MSG,25,20,0.032777777777777795
8,coex_ADV,14,17,-0.1592261904761907
9,coex_EMS,10,14,-0.47857142857142865
10,coex_SMU,13,17,-0.2752976190476186
11,coex_ARG,10,14,-0.16666666666666696
12,coex_TST,18,19,-0.1431563142089456
13,coex_PIT,18,19,-0.09293504030346122
14,coex_LVR,23,22,-0.28899868247694305
15,coex_THY,11,21,-0.10186688311688297
16,coex_PNC,10,18,-0.20000000000000018
17,coex_ATC,14,21,-0.11113445378151265
18,coex_BRO,17,21,-0.1594427244582044
19,coex_SKN,13,18,0.20811563915012243
20,coex_ADS,18,21,0.11300309597523173
21,coex_GEJ,13,17,-0.1753718728870859
22,coex_BRB,14,16,-0.11696428571428541
23,coex_UTR,9,15,-0.10317460317460325
24,coex_STM,23,18,-0.32325910215623876
25,coex_HRA,11,15,-0.10350649350649332
26,coex_PRS,19,17,-0.16494668042655647
27,coex_ATA,15,22,-0.3012477718360067
28,coex_FIB,9,13,-0.6146076146076149
29,coex_BRC,13,13,0.0
30,coex_ATT,13,20,-0.10606060606060597
31,coex_TNV,10,13,0.08043478260869596
32,coex_SPL,19,31,0.16326530612244916
33,coex_LCL,8,15,-0.10952380952380958
34,coex_CLS,19,19,0.30437015963331726
35,coex_EMC,13,19,0.04807692307692335
36,coex_CLT,21,20,-0.19605263157894726
37,coex_core,22,25,-0.07476943346508591
38,coex_WBL,24,33,0.12966008771929816
39,co-essential,7,8,0.11964285714285738
40,GOBP,21,10,0.16254537205081654
41,ppi,49,50,0.019931972789115626
42,reactome_copathway,20,20,-0.41417733522996714
43,MP,16,16,0.6824404761904761
44,HP,18,24,0.10119047619047628
45,GI_net,13,10,0.16666666666666652
46,gene_gene_on_CbG_name_mapped,17,9,-0.14655605832076435
47,gene_gene_on_GcG_name_mapped,24,32,-0.013392857142857206
48,GOMF,6,5,-1.0
