,Layer,Ovarian_cancer nodes,Breast_neoplasm nodes,sAB
0,coex_KDN,44,26,-0.6000427782530917
1,coex_BST,38,24,-0.7376910016977927
2,coex_OVR,37,20,-0.7001066856330014
3,coex_LNG,43,24,-0.6662327895406686
4,coex_ITI,43,26,-0.6087475046019031
5,coex_VGN,43,25,-0.5969767441860463
6,coex_HRV,18,9,-0.6388888888888888
7,coex_MSG,41,25,-0.5338211382113822
8,coex_ADV,30,15,-0.48888888888888915
9,coex_EMS,38,21,-0.8069432054713053
10,coex_SMU,33,18,-0.557262677798392
11,coex_ARG,34,17,-0.6813970588235294
12,coex_TST,42,24,-0.6747835497835496
13,coex_PIT,40,18,-0.4352490421455939
14,coex_LVR,33,21,-0.615921115921116
15,coex_THY,35,21,-1.0726190476190476
16,coex_PNC,32,18,-0.7017361111111111
17,coex_ATC,38,22,-0.812146892655367
18,coex_BRO,37,18,-0.40199290199290205
19,coex_SKN,42,22,-0.4722222222222221
20,coex_ADS,30,20,-1.1819317382125265
21,coex_GEJ,36,20,-0.8937908496732023
22,coex_BRB,23,12,-0.8793303882817951
23,coex_UTR,32,19,-0.9638370118845503
24,coex_STM,42,24,-0.778409090909091
25,coex_HRA,32,18,-0.7516092458488772
26,coex_PRS,38,22,-0.7506796652648573
27,coex_ATA,33,18,-0.7526737967914439
28,coex_FIB,38,21,-0.35992523682086563
29,coex_BRC,37,18,-0.506906906906907
30,coex_ATT,32,19,-0.5801388888888888
31,coex_TNV,19,12,-1.3527777777777774
32,coex_SPL,39,23,-0.7476714496349841
33,coex_LCL,35,19,-0.5420731351130323
34,coex_CLS,39,21,-0.7027472527472529
35,coex_EMC,42,23,-0.46594976139978783
36,coex_CLT,43,26,-0.7316986496090974
37,coex_core,45,26,-0.5346030729833546
38,coex_WBL,33,17,-0.6754367201426026
39,co-essential,26,17,-0.4575914634146343
40,GOBP,6,3,1.8571428571428568
41,ppi,48,46,-0.3006668208448966
42,reactome_copathway,43,31,-0.35830545209687925
43,MP,11,7,-0.9971139971139973
44,HP,38,22,-0.44960127591706545
45,GI_net,41,29,-0.5190654672663668
46,gene_gene_on_CbG_name_mapped,17,16,-0.4878008021390374
47,gene_gene_on_GcG_name_mapped,37,26,-0.6473616473616473
48,GOMF,3,1,
