,Layer,Temporal_lobe_epilepsy nodes,Atypical_absence_seizure nodes,sAB
0,coex_KDN,31,31,-0.5
1,coex_BST,20,23,-0.6633565621370496
2,coex_OVR,19,17,-0.2541795665634674
3,coex_LNG,21,22,-0.5311587637169033
4,coex_ITI,29,27,-0.31842694342694333
5,coex_VGN,25,27,-0.3303703703703702
6,coex_HRV,14,12,-0.12042124542124544
7,coex_MSG,24,26,-0.3829487179487181
8,coex_ADV,15,19,-0.8171310629514963
9,coex_EMS,22,20,-0.3064935064935064
10,coex_SMU,18,20,-0.2777777777777777
11,coex_ARG,23,25,-0.42555125725338483
12,coex_TST,31,30,-0.3925436277102061
13,coex_PIT,34,29,-0.39050677742361306
14,coex_LVR,21,21,-0.45238095238095233
15,coex_THY,21,23,-0.8785714285714286
16,coex_PNC,25,26,-0.4722624434389142
17,coex_ATC,25,25,-0.4706972789115649
18,coex_BRO,37,40,-0.4017853886274938
19,coex_SKN,22,24,-0.5258454106280193
20,coex_ADS,21,18,-0.9388157894736844
21,coex_GEJ,22,22,-0.5508771929824561
22,coex_BRB,27,33,-0.5579124579124579
23,coex_UTR,15,17,-0.4220588235294116
24,coex_STM,29,29,-0.36206896551724155
25,coex_HRA,19,22,-0.756453634085213
26,coex_PRS,19,22,-0.7023573345781307
27,coex_ATA,24,24,-0.8512845849802373
28,coex_FIB,14,14,-0.5714285714285714
29,coex_BRC,33,39,-0.6055021367521367
30,coex_ATT,22,20,-0.6179653679653678
31,coex_TNV,23,23,-0.5838383838383836
32,coex_SPL,18,23,-0.33062330623306235
33,coex_LCL,12,10,-0.9514619883040936
34,coex_CLS,24,25,-0.5118877551020409
35,coex_EMC,19,23,-0.49302604336929257
36,coex_CLT,27,25,-0.4610826210826211
37,coex_core,29,25,-0.20152843746194127
38,coex_WBL,15,11,-0.20833333333333348
39,co-essential,6,5,-0.7000000000000002
40,GOBP,18,21,-0.1934247383163794
41,ppi,49,49,-0.3163265306122449
42,reactome_copathway,21,19,-1.1198275862068965
43,MP,13,12,-0.6824110671936756
44,HP,24,37,-0.46647467139270427
45,GI_net,17,14,-0.5419642857142857
46,gene_gene_on_CbG_name_mapped,25,22,-0.06342359767891681
47,gene_gene_on_GcG_name_mapped,31,30,-0.4734620130442444
48,GOMF,3,5,
