,Layer,Status_epilepticus nodes,Alzheimer_disease nodes,sAB
0,coex_KDN,28,32,-0.17782738095238115
1,coex_BST,16,19,-0.10476190476190483
2,coex_OVR,14,25,-0.23857142857142843
3,coex_LNG,19,26,0.03324336482231205
4,coex_ITI,24,33,0.127890749601276
5,coex_VGN,22,32,-0.25516621743036816
6,coex_HRV,18,20,-0.2971392445076657
7,coex_MSG,22,34,-0.0312261268143621
8,coex_ADV,13,24,-0.31791406791406773
9,coex_EMS,17,23,-0.2986768133826958
10,coex_SMU,15,21,-0.3380952380952382
11,coex_ARG,16,29,-0.20960249042145573
12,coex_TST,23,31,-0.23835125448028682
13,coex_PIT,26,31,0.08617511520737331
14,coex_LVR,20,32,-0.010135989879823004
15,coex_THY,18,22,-0.1391941391941396
16,coex_PNC,17,24,-0.4811095169775226
17,coex_ATC,18,30,-0.2625000000000002
18,coex_BRO,33,33,0.060606060606060774
19,coex_SKN,16,27,-0.46223621877691623
20,coex_ADS,16,23,-0.512105855855856
21,coex_GEJ,15,20,-0.3262125902992774
22,coex_BRB,26,23,-0.11089686710804703
23,coex_UTR,11,16,0.028441558441558712
24,coex_STM,22,29,-0.09728624992316659
25,coex_HRA,15,18,-0.17222222222222205
26,coex_PRS,13,24,-0.0387214137214138
27,coex_ATA,17,26,-0.2329411764705882
28,coex_FIB,12,19,0.011460101867572181
29,coex_BRC,32,32,-0.19127624167946733
30,coex_ATT,18,25,0.023882113821137807
31,coex_TNV,21,22,-0.5952380952380953
32,coex_SPL,15,27,-0.1693121693121693
33,coex_LCL,9,16,-0.6789164941338854
34,coex_CLS,25,33,-0.34258771929824583
35,coex_EMC,16,25,-0.11493902439024373
36,coex_CLT,22,28,-0.0970779220779221
37,coex_core,23,32,-0.20200022132462792
38,coex_WBL,20,29,0.36739971850809283
39,co-essential,6,5,-0.7924242424242429
40,GOBP,20,9,0.5380116959064329
41,ppi,49,50,0.16116883116883107
42,reactome_copathway,20,26,0.22058823529411775
43,MP,13,13,-0.34999999999999964
44,HP,24,26,0.18301282051282053
45,GI_net,20,15,-0.23797729618163022
46,gene_gene_on_CbG_name_mapped,24,21,-0.13730158730158748
47,gene_gene_on_GcG_name_mapped,36,34,-0.025933706816059665
48,GOMF,1,0,
