,Layer,Endometriosis nodes,Hematologic_neoplasm nodes,sAB
0,coex_KDN,31,44,0.11293363881510898
1,coex_BST,19,28,0.21464565669492863
2,coex_OVR,18,33,0.07928698752228192
3,coex_LNG,19,38,0.5219298245614032
4,coex_ITI,26,41,0.10828596230853238
5,coex_VGN,18,36,0.28690344062153184
6,coex_HRV,17,16,-0.03008021390374349
7,coex_MSG,27,38,-0.025611036137351828
8,coex_ADV,11,32,0.008169250104734349
9,coex_EMS,16,30,-0.21111111111111125
10,coex_SMU,11,31,0.022832006702974805
11,coex_ARG,14,31,0.14494248562140566
12,coex_TST,26,37,0.205895455895456
13,coex_PIT,21,34,0.4666122004357296
14,coex_LVR,12,35,0.40349544072948307
15,coex_THY,20,32,-0.09860358617131082
16,coex_PNC,13,31,0.3072411459508233
17,coex_ATC,12,37,0.1018755328218246
18,coex_BRO,19,34,0.25441030434020684
19,coex_SKN,15,36,0.07619047619047636
20,coex_ADS,17,28,0.2841651812240049
21,coex_GEJ,15,31,0.31367020076697516
22,coex_BRB,10,22,0.23181818181818192
23,coex_UTR,14,30,0.20505698005697992
24,coex_STM,23,37,0.263728946337642
25,coex_HRA,10,31,0.033333333333333215
26,coex_PRS,16,33,0.050369919935137286
27,coex_ATA,12,30,-0.4219582282029717
28,coex_FIB,13,34,-0.2704101280446711
29,coex_BRC,15,36,-0.09705882352941186
30,coex_ATT,13,34,0.12702472293265155
31,coex_TNV,15,19,0.3047794117647058
32,coex_SPL,19,42,0.4639159373844448
33,coex_LCL,8,37,0.18810207009633073
34,coex_CLS,15,38,-0.12360145647136722
35,coex_EMC,18,40,0.13554720133667475
36,coex_CLT,19,40,0.09369910186607111
37,coex_core,21,40,0.625
38,coex_WBL,16,40,0.13901515151515165
39,co-essential,4,17,-0.7019607843137257
40,GOBP,15,14,-0.3076923076923084
41,ppi,50,50,0.13000000000000012
42,reactome_copathway,18,27,0.39400183150183143
43,MP,15,13,0.17314814814814827
44,HP,17,39,0.14663985252220546
45,GI_net,15,32,0.03581133540372683
46,gene_gene_on_CbG_name_mapped,15,18,0.20959595959595978
47,gene_gene_on_GcG_name_mapped,28,35,0.08333333333333326
48,GOMF,11,6,
