,Layer,Sepsis nodes,Otitis_media nodes,sAB
0,coex_KDN,39,35,-0.21173991198165254
1,coex_BST,22,27,-0.3407156673114118
2,coex_OVR,30,32,-0.32382392473118293
3,coex_LNG,34,43,0.0819424353696081
4,coex_ITI,34,32,-0.2612398018648019
5,coex_VGN,26,30,-0.16950549450549457
6,coex_HRV,24,21,-0.5839285714285711
7,coex_MSG,36,42,-0.09681307852039578
8,coex_ADV,32,29,-0.3782738095238094
9,coex_EMS,28,27,-0.4543891293891291
10,coex_SMU,29,27,-0.12249133369823029
11,coex_ARG,27,21,-0.2549603174603179
12,coex_TST,32,35,0.056583155650319794
13,coex_PIT,33,36,-0.11445123503947041
14,coex_LVR,35,32,-0.2936441622103385
15,coex_THY,30,32,-0.05399413510457851
16,coex_PNC,29,27,-0.036845912707981654
17,coex_ATC,31,34,-0.11948529411764719
18,coex_BRO,33,35,-0.2082834490648362
19,coex_SKN,30,31,-0.08333333333333348
20,coex_ADS,26,30,-0.3312983312983313
21,coex_GEJ,27,35,-0.4247919568556022
22,coex_BRB,30,30,-0.2908045977011495
23,coex_UTR,24,19,-0.2797287253808993
24,coex_STM,35,33,0.013025210084033567
25,coex_HRA,28,26,-0.13988095238095255
26,coex_PRS,32,34,-0.10890151515151514
27,coex_ATA,31,31,-0.03333333333333277
28,coex_FIB,23,24,0.15217391304347805
29,coex_BRC,29,29,-0.0517241379310347
30,coex_ATT,29,29,-0.19769250712989406
31,coex_TNV,19,22,-0.468428630193336
32,coex_SPL,38,31,-0.23241923181024116
33,coex_LCL,22,19,-0.4043747580332948
34,coex_CLS,28,30,-0.25405947819740926
35,coex_EMC,28,33,-0.10876623376623362
36,coex_CLT,31,33,-0.27641824249165725
37,coex_core,36,36,-0.12649787614576358
38,coex_WBL,32,30,-0.02413488700564992
39,co-essential,11,8,-0.046650717703349276
40,GOBP,11,14,-0.5571095571095563
41,ppi,50,49,-0.18391877963306547
42,reactome_copathway,30,26,0.019864773495605004
43,MP,8,14,0.3660714285714288
44,HP,28,35,-0.11686771482786651
45,GI_net,24,26,-0.5202887174936863
46,gene_gene_on_CbG_name_mapped,18,8,0.09401709401709413
47,gene_gene_on_GcG_name_mapped,33,26,-0.1687211093990757
48,GOMF,7,6,
