,Layer,Macular_degeneration nodes,Carcinoma_of_pancreas nodes,sAB
0,coex_KDN,31,42,0.24426304746918426
1,coex_BST,19,35,-0.07577276524644949
2,coex_OVR,26,37,-0.07049364938709202
3,coex_LNG,27,40,-0.0016929242675507439
4,coex_ITI,33,39,-0.005050505050504972
5,coex_VGN,29,40,0.07909663865546213
6,coex_HRV,15,18,0.10757575757575788
7,coex_MSG,31,42,0.10403383624771156
8,coex_ADV,23,33,0.08338038772821355
9,coex_EMS,24,34,0.1287187288708589
10,coex_SMU,23,29,0.0769230769230771
11,coex_ARG,23,29,0.07835453930788638
12,coex_TST,34,39,-0.0681987231141139
13,coex_PIT,29,36,0.007854406130268332
14,coex_LVR,29,33,-0.08551589307985297
15,coex_THY,22,32,0.28606876993973795
16,coex_PNC,25,35,-0.14569209039548037
17,coex_ATC,26,38,0.12241521918941256
18,coex_BRO,28,35,-0.05644307902372425
19,coex_SKN,29,41,0.08352757419199808
20,coex_ADS,24,26,-0.2187563988806227
21,coex_GEJ,23,35,0.060071301247771824
22,coex_BRB,19,20,-0.12314439946018885
23,coex_UTR,19,31,-0.0016469745793052937
24,coex_STM,24,39,0.21405677655677646
25,coex_HRA,26,32,0.08944700460829469
26,coex_PRS,25,36,0.03888888888888875
27,coex_ATA,22,29,0.08909090909090933
28,coex_FIB,22,31,0.02891052951917228
29,coex_BRC,28,34,0.04955534126218808
30,coex_ATT,24,31,-0.009103128054740672
31,coex_TNV,15,21,-0.004670767828662825
32,coex_SPL,27,34,-0.045474838387085326
33,coex_LCL,15,28,-0.011259517357078197
34,coex_CLS,29,38,0.2078047683310842
35,coex_EMC,26,38,0.07324806341199785
36,coex_CLT,31,39,0.27982210083413284
37,coex_core,32,40,0.10178571428571437
38,coex_WBL,26,32,-0.18464025198938971
39,co-essential,7,19,1.3152173913043477
40,GOBP,20,11,0.37155388471177986
41,ppi,49,49,0.204081632653061
42,reactome_copathway,6,32,0.524078341013825
43,MP,24,15,1.4235588972431077
44,HP,43,34,0.5565491495724055
45,GI_net,15,31,0.16788218793828902
46,gene_gene_on_CbG_name_mapped,9,13,-0.07420357420357426
47,gene_gene_on_GcG_name_mapped,33,33,-0.06060606060606055
48,GOMF,7,3,
