,Layer,Emphysema nodes,Bronchiectasis nodes,sAB
0,coex_KDN,37,36,-0.024923896499238873
1,coex_BST,22,21,-0.16666666666666652
2,coex_OVR,29,18,0.07057552783891774
3,coex_LNG,36,38,0.3996364785838471
4,coex_ITI,35,26,0.03714646009727973
5,coex_VGN,34,21,-0.0721500721500723
6,coex_HRV,32,12,-0.2628822790113108
7,coex_MSG,38,26,0.029415485829959565
8,coex_ADV,22,16,-0.01944444444444482
9,coex_EMS,28,16,-0.22037337662337642
10,coex_SMU,26,17,-0.22134453781512575
11,coex_ARG,25,14,-0.27908424908424934
12,coex_TST,33,35,0.07309651133180539
13,coex_PIT,31,31,0.16129032258064524
14,coex_LVR,37,19,-0.07070707070707072
15,coex_THY,27,29,0.3017925561029009
16,coex_PNC,31,22,-0.22645633935956466
17,coex_ATC,33,23,-0.15389139845661592
18,coex_BRO,29,32,0.22905773035613342
19,coex_SKN,35,19,-0.06749622926093513
20,coex_ADS,29,18,-0.16394743804568268
21,coex_GEJ,29,23,-0.11411521130191193
22,coex_BRB,23,29,0.567409572524662
23,coex_UTR,20,13,0.09223178137651811
24,coex_STM,36,27,-0.15608465608465605
25,coex_HRA,30,17,-0.04999999999999982
26,coex_PRS,29,22,0.1232405187780441
27,coex_ATA,24,19,-0.4285714285714284
28,coex_FIB,25,16,0.029166666666666785
29,coex_BRC,32,22,-0.045883361921097876
30,coex_ATT,32,20,-0.3883333333333332
31,coex_TNV,23,10,0.33472978634268946
32,coex_SPL,32,23,-0.05670701581027693
33,coex_LCL,21,23,-0.07393483709273174
34,coex_CLS,34,25,-0.04196271929824569
35,coex_EMC,33,28,-0.1469717668488162
36,coex_CLT,32,29,0.011790878754171175
37,coex_core,38,32,0.08452879185155293
38,coex_WBL,29,28,-0.06812169312169325
39,co-essential,7,6,-0.7335164835164836
40,GOBP,12,29,1.4131285381285381
41,ppi,49,47,0.18623805905340873
42,reactome_copathway,28,16,0.3219780219780217
43,MP,16,15,2.574384236453202
44,HP,35,47,0.3827414930684263
45,GI_net,19,22,-0.10303030303030303
46,gene_gene_on_CbG_name_mapped,16,11,0.20591329966329974
47,gene_gene_on_GcG_name_mapped,35,29,-0.3237684729064041
48,GOMF,5,6,
