,Layer,Epididymitis nodes,Sinusitis nodes,sAB
0,coex_KDN,38,39,-0.41584766584766597
1,coex_BST,18,21,-0.7408424908424911
2,coex_OVR,26,26,-1.0330392156862747
3,coex_LNG,34,41,-0.5879526977087952
4,coex_ITI,35,34,-0.432992327365729
5,coex_VGN,30,27,-0.7989436455861139
6,coex_HRV,21,21,-0.9953832752613236
7,coex_MSG,35,35,-0.7428571428571429
8,coex_ADV,28,23,-0.6710389610389607
9,coex_EMS,26,19,-1.0024401913875596
10,coex_SMU,22,26,-0.9143133462282398
11,coex_ARG,20,19,-1.2309041835357624
12,coex_TST,28,36,-0.5632440476190477
13,coex_PIT,31,31,-0.5
14,coex_LVR,32,26,-0.7630700778642938
15,coex_THY,28,33,-0.920827123695976
16,coex_PNC,23,25,-0.7066666666666668
17,coex_ATC,33,33,-0.6515151515151516
18,coex_BRO,27,32,-0.3889477401129946
19,coex_SKN,27,27,-0.8753561253561253
20,coex_ADS,28,30,-0.8403575989782888
21,coex_GEJ,29,29,-1.2413793103448274
22,coex_BRB,25,28,-0.4257549857549856
23,coex_UTR,17,18,-0.5608660130718954
24,coex_STM,31,33,-0.6903103616813295
25,coex_HRA,20,19,-0.85233918128655
26,coex_PRS,27,26,-0.9230769230769229
27,coex_ATA,22,25,-0.8605072463768113
28,coex_FIB,15,19,-0.6162022703818373
29,coex_BRC,19,22,-0.6096685727622828
30,coex_ATT,25,29,-0.7100638569604085
31,coex_TNV,22,19,-1.4030303030303033
32,coex_SPL,33,32,-0.754079254079254
33,coex_LCL,20,23,-1.1053391053391053
34,coex_CLS,31,28,-0.5371885495586972
35,coex_EMC,31,33,-0.8286595796676441
36,coex_CLT,35,31,-0.7526419500802803
37,coex_core,37,35,-0.5838481338481338
38,coex_WBL,33,35,-0.5975426534250061
39,co-essential,8,5,-0.04423076923076952
40,GOBP,10,18,0.006250000000000089
41,ppi,50,48,-0.29608843537414953
42,reactome_copathway,25,18,-0.40208333333333357
43,MP,11,13,-0.08444816053511683
44,HP,39,44,-0.3536102451765102
45,GI_net,24,23,-0.7679232192414431
46,gene_gene_on_CbG_name_mapped,14,8,-0.5974025974025974
47,gene_gene_on_GcG_name_mapped,28,24,-0.48282967032967017
48,GOMF,2,4,
