,Layer,Extrapyramidal_disease nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,42,33,-0.095860760244322
1,coex_BST,34,23,0.026973939025064952
2,coex_OVR,33,27,-0.03156387319522924
3,coex_LNG,36,23,0.04776183336902973
4,coex_ITI,38,31,-0.09182229767968297
5,coex_VGN,39,29,0.15147496181978948
6,coex_HRV,19,37,0.33151788151788164
7,coex_MSG,38,42,0.10889724310776949
8,coex_ADV,31,23,0.3008015223157652
9,coex_EMS,31,30,0.1941570298234936
10,coex_SMU,29,32,0.3591983465234594
11,coex_ARG,35,23,-0.016736213936375144
12,coex_TST,37,34,-0.03455493537015286
13,coex_PIT,38,25,0.024377610693400165
14,coex_LVR,30,21,0.055462184873949605
15,coex_THY,28,27,0.179344729344729
16,coex_PNC,35,14,-0.09183673469387754
17,coex_ATC,34,34,0.5882352941176472
18,coex_BRO,38,27,0.0890688259109309
19,coex_SKN,34,27,-0.15229115325547316
20,coex_ADS,23,22,0.22727272727272751
21,coex_GEJ,31,22,0.08514461503076287
22,coex_BRB,28,18,0.22222222222222188
23,coex_UTR,28,21,0.0952380952380949
24,coex_STM,32,31,0.018193164362519054
25,coex_HRA,31,39,0.1631549609810481
26,coex_PRS,30,39,-0.00602006688963197
27,coex_ATA,29,19,-0.17673172292433215
28,coex_FIB,30,15,0.13432601880877737
29,coex_BRC,35,26,-0.10375302663438246
30,coex_ATT,31,26,-0.245020269255793
31,coex_TNV,21,21,-0.23099415204678353
32,coex_SPL,33,25,0.16681295715778477
33,coex_LCL,24,17,-0.1431159420289856
34,coex_CLS,35,29,-0.040394088669950534
35,coex_EMC,34,23,0.033131829807021784
36,coex_CLT,37,27,-0.017960267960268173
37,coex_core,38,35,0.4713250517598342
38,coex_WBL,29,29,0.3319749216300938
39,co-essential,10,9,-0.2777777777777777
40,GOBP,19,19,1.4797297297297298
41,ppi,49,50,0.13850546279117704
42,reactome_copathway,13,18,0.45860566448801743
43,MP,18,20,0.34236596736596736
44,HP,41,43,0.5588755638386949
45,GI_net,16,16,0.0008736559139785882
46,gene_gene_on_CbG_name_mapped,17,11,0.018525592055003592
47,gene_gene_on_GcG_name_mapped,37,31,-0.04275860300528245
48,GOMF,7,1,
