,Layer,Chorea nodes,Extrapyramidal_disease nodes,sAB
0,coex_KDN,41,42,-0.39830401746358257
1,coex_BST,35,34,-0.09381842066851553
2,coex_OVR,37,33,-0.4668607660455486
3,coex_LNG,39,36,-0.36664686664686674
4,coex_ITI,42,38,-0.17847744360902262
5,coex_VGN,40,39,-0.1515376501135992
6,coex_HRV,16,19,-0.965890522875817
7,coex_MSG,41,38,-0.29173640337336093
8,coex_ADV,31,31,-0.19869040889391343
9,coex_EMS,36,31,-0.23706735141496793
10,coex_SMU,35,29,-0.5229371921182264
11,coex_ARG,37,35,-0.2235383685259411
12,coex_TST,43,37,-0.21718258956631065
13,coex_PIT,41,38,-0.32279293479144
14,coex_LVR,33,30,-0.3128427128427129
15,coex_THY,32,28,-0.4706690561529272
16,coex_PNC,37,35,-0.2619583869583866
17,coex_ATC,35,34,-0.21901717208622573
18,coex_BRO,42,38,-0.16322055137844593
19,coex_SKN,39,34,-0.4589764251327504
20,coex_ADS,30,23,-0.3935714285714287
21,coex_GEJ,40,31,-0.25652841781874036
22,coex_BRB,26,28,-0.4715368488953393
23,coex_UTR,30,28,-0.3662561576354679
24,coex_STM,39,32,-0.32062969924812035
25,coex_HRA,40,31,-0.28214285714285703
26,coex_PRS,34,30,-0.22359068627450984
27,coex_ATA,30,29,-0.3175697865353033
28,coex_FIB,33,30,-0.3064853203896585
29,coex_BRC,43,35,-0.5162961069937813
30,coex_ATT,34,31,-0.2641907337647704
31,coex_TNV,16,21,-0.41480263157894726
32,coex_SPL,36,33,-0.36511857707509887
33,coex_LCL,26,24,-0.10511227902532272
34,coex_CLS,35,35,-0.22857142857142843
35,coex_EMC,39,34,-0.30260955804872003
36,coex_CLT,38,37,-0.22785680417259369
37,coex_core,41,38,-0.19145285608700258
38,coex_WBL,36,29,-0.36672561155319783
39,co-essential,11,10,-0.36432748538011683
40,GOBP,20,19,-0.25816993464052285
41,ppi,49,49,-0.09183673469387754
42,reactome_copathway,18,13,-0.28422619047619024
43,MP,12,18,-0.28217948717948715
44,HP,42,41,-0.1450330940486685
45,GI_net,20,16,-0.20126879699248112
46,gene_gene_on_CbG_name_mapped,12,17,-0.21889790398918185
47,gene_gene_on_GcG_name_mapped,39,37,-0.23868402815771228
48,GOMF,3,7,
