,Layer,Gingivostomatitis nodes,Prostatitis nodes,sAB
0,coex_KDN,33,36,-0.3590250329380764
1,coex_BST,11,18,-0.35315904139433574
2,coex_OVR,16,17,-0.3365084670231733
3,coex_LNG,36,28,-0.2728339947089946
4,coex_ITI,27,28,-0.179112554112554
5,coex_VGN,17,23,-0.45982448923625396
6,coex_HRV,21,12,-0.2321428571428572
7,coex_MSG,34,28,-0.3009284358904851
8,coex_ADV,27,23,0.0461829836829839
9,coex_EMS,16,20,-0.6485294117647062
10,coex_SMU,13,15,-0.057407407407407574
11,coex_ARG,12,18,-0.3666666666666665
12,coex_TST,19,24,-0.5919012647898816
13,coex_PIT,21,25,0.002777777777777768
14,coex_LVR,36,23,-0.23489202368512707
15,coex_THY,17,25,-0.2588235294117647
16,coex_PNC,19,18,-0.030873753009975857
17,coex_ATC,27,24,-0.19846153846153824
18,coex_BRO,23,22,0.029879540749106148
19,coex_SKN,18,21,-0.33676533676533693
20,coex_ADS,20,18,-0.23207472178060407
21,coex_GEJ,32,21,0.033496181491464494
22,coex_BRB,21,14,0.23997668997668997
23,coex_UTR,10,18,-0.052352941176470935
24,coex_STM,32,26,0.17383771929824565
25,coex_HRA,20,19,0.2777777777777777
26,coex_PRS,17,20,0.01617647058823568
27,coex_ATA,27,20,-0.1370370370370373
28,coex_FIB,13,18,-0.07071960297766733
29,coex_BRC,17,18,-0.2860410830999065
30,coex_ATT,19,18,-0.1470588235294117
31,coex_TNV,12,12,0.04166666666666696
32,coex_SPL,34,30,-0.07003676470588216
33,coex_LCL,14,18,0.2755332902391725
34,coex_CLS,24,25,-0.676521739130435
35,coex_EMC,29,27,-0.646916621054552
36,coex_CLT,24,28,-0.2796296296296297
37,coex_core,36,32,0.07772657450076825
38,coex_WBL,35,28,-0.14047619047619064
39,co-essential,5,6,0.0
40,GOBP,12,15,1.2420634920634925
41,ppi,50,50,-0.08000000000000007
42,reactome_copathway,28,17,0.12169715447154461
43,MP,11,12,0.27602108036890627
44,HP,23,30,-0.1112934098988243
45,GI_net,24,19,-0.5238305643926002
46,gene_gene_on_CbG_name_mapped,22,12,-0.1916221033868093
47,gene_gene_on_GcG_name_mapped,27,27,-0.3148148148148151
48,GOMF,4,3,
