,Layer,Episcleritis nodes,Conjunctivitis nodes,sAB
0,coex_KDN,45,40,-0.33243464052287597
1,coex_BST,27,27,-0.30698005698005715
2,coex_OVR,32,31,-0.582325268817204
3,coex_LNG,34,35,-0.37524219173835527
4,coex_ITI,38,36,-0.29413624150466267
5,coex_VGN,33,35,-0.41168114973262027
6,coex_HRV,17,19,-0.6470588235294117
7,coex_MSG,32,38,-0.2880874060150376
8,coex_ADV,29,27,-0.4544668294668297
9,coex_EMS,31,30,-0.4895810159436409
10,coex_SMU,26,27,-0.5297398269096383
11,coex_ARG,30,29,-0.474858757062147
12,coex_TST,34,33,-0.37173091760449095
13,coex_PIT,36,33,-0.34733201581027684
14,coex_LVR,32,28,-0.46964285714285725
15,coex_THY,32,34,-0.468889260249554
16,coex_PNC,29,29,-0.4999999999999998
17,coex_ATC,32,32,-0.3125
18,coex_BRO,30,32,-0.45483870967741935
19,coex_SKN,34,32,-0.4902097902097906
20,coex_ADS,30,29,-0.7413793103448278
21,coex_GEJ,31,35,-0.6527472527472524
22,coex_BRB,22,22,-0.5454545454545452
23,coex_UTR,30,26,-0.7476971304557514
24,coex_STM,36,30,-0.4255050505050506
25,coex_HRA,27,25,-0.405925925925926
26,coex_PRS,30,33,-0.6726551226551227
27,coex_ATA,32,29,-0.4975268513284339
28,coex_FIB,26,23,-0.4411473619548152
29,coex_BRC,26,25,-0.5200000000000002
30,coex_ATT,34,31,-0.749450146627566
31,coex_TNV,15,18,-0.941919191919192
32,coex_SPL,34,36,-0.2006769374416435
33,coex_LCL,25,29,-0.3571623093681917
34,coex_CLS,34,33,-0.5151515151515151
35,coex_EMC,32,36,-0.13480392156862764
36,coex_CLT,35,37,-0.517854183927092
37,coex_core,38,42,-0.24425858951175417
38,coex_WBL,33,38,-0.19541411146303655
39,co-essential,6,5,0.6742424242424243
40,GOBP,21,21,0.02777777777777768
41,ppi,49,50,-0.12104926819212514
42,reactome_copathway,22,26,-0.0013998682476943358
43,MP,17,16,0.30436827956989276
44,HP,41,46,-0.0825471410636145
45,GI_net,19,21,-0.7920111287758347
46,gene_gene_on_CbG_name_mapped,12,9,-0.64484126984127
47,gene_gene_on_GcG_name_mapped,28,35,-0.2666666666666666
48,GOMF,9,6,-0.6666666666666667
