,Layer,Cellulitis nodes,Pneumonia nodes,sAB
0,coex_KDN,42,26,0.1220642102995042
1,coex_BST,22,11,0.2412698412698413
2,coex_OVR,36,15,-0.13428571428571434
3,coex_LNG,37,22,0.04415584415584428
4,coex_ITI,41,24,0.20625000000000004
5,coex_VGN,40,11,0.2466666666666666
6,coex_HRV,28,14,0.18098365049584553
7,coex_MSG,43,18,0.025087897657474434
8,coex_ADV,33,18,0.28513888888888905
9,coex_EMS,33,13,-0.005555555555555536
10,coex_SMU,32,10,0.0328869047619047
11,coex_ARG,28,9,0.4099635349635351
12,coex_TST,37,17,0.0358299475946533
13,coex_PIT,38,18,0.0342522974101922
14,coex_LVR,36,16,-0.19150910364145668
15,coex_THY,35,20,-0.1857142857142855
16,coex_PNC,32,13,0.16522435897435916
17,coex_ATC,37,14,0.1177038382920732
18,coex_BRO,37,19,0.07995746943115378
19,coex_SKN,36,12,0.27083333333333304
20,coex_ADS,34,11,0.41310160427807485
21,coex_GEJ,35,14,0.04081632653061229
22,coex_BRB,31,16,0.09945652173913033
23,coex_UTR,24,8,0.1875
24,coex_STM,37,16,0.4356355175930646
25,coex_HRA,29,11,0.02288401253918515
26,coex_PRS,34,16,0.22843822843822847
27,coex_ATA,29,12,-0.03626997476871274
28,coex_FIB,19,12,0.12938596491228083
29,coex_BRC,30,12,0.09285714285714253
30,coex_ATT,34,10,0.1911764705882355
31,coex_TNV,27,13,-0.019230769230769162
32,coex_SPL,37,22,-0.008084400189663388
33,coex_LCL,22,10,0.2927203065134094
34,coex_CLS,33,13,-0.03501570892875261
35,coex_EMC,39,16,-0.11623931623931627
36,coex_CLT,39,21,0.15399519301515663
37,coex_core,44,21,0.044438741264263504
38,coex_WBL,34,24,0.06407563025210083
39,co-essential,7,5,0.5698051948051948
40,GOBP,13,15,1.7954545454545454
41,ppi,50,50,0.26
42,reactome_copathway,28,23,0.5287280701754389
43,MP,8,13,0.5911764705882354
44,HP,43,22,0.27060497641893
45,GI_net,24,21,-0.0017857142857145014
46,gene_gene_on_CbG_name_mapped,9,10,0.3111111111111111
47,gene_gene_on_GcG_name_mapped,28,31,-0.0013766304772317994
48,GOMF,4,4,
