,Layer,Ichthyosis nodes,Ichthyosis_vulgaris nodes,sAB
0,coex_KDN,35,32,-1.1017445976946387
1,coex_BST,28,19,-0.7511198208286676
2,coex_OVR,42,34,-1.0492407489311515
3,coex_LNG,28,24,-0.6894586894586898
4,coex_ITI,27,21,-0.781084656084656
5,coex_VGN,48,39,-0.7601127320954906
6,coex_HRV,14,11,-0.7166666666666663
7,coex_MSG,48,38,-0.7735873113015097
8,coex_ADV,24,15,-1.1246794871794872
9,coex_EMS,33,27,-0.8646800397877984
10,coex_SMU,28,22,-0.9316402116402116
11,coex_ARG,26,20,-1.045903890160183
12,coex_TST,28,21,-0.7696428571428573
13,coex_PIT,29,21,-0.8286371100164203
14,coex_LVR,22,19,-0.9919191919191921
15,coex_THY,25,18,-1.3068475452196382
16,coex_PNC,24,17,-1.3845268542199487
17,coex_ATC,27,19,-1.05720823798627
18,coex_BRO,29,20,-0.7892300194931774
19,coex_SKN,47,40,-0.7624620967025717
20,coex_ADS,34,32,-1.4982453208556148
21,coex_GEJ,39,32,-0.8325529542920846
22,coex_BRB,15,15,-0.8000000000000003
23,coex_UTR,23,17,-1.411371237458194
24,coex_STM,30,21,-1.0094252873563219
25,coex_HRA,27,18,-1.0703703703703704
26,coex_PRS,31,22,-0.8722818569136281
27,coex_ATA,25,17,-1.0930532212885151
28,coex_FIB,27,21,-0.8073680063041763
29,coex_BRC,27,16,-0.9077034883720929
30,coex_ATT,24,17,-1.1502089701203917
31,coex_TNV,24,22,-1.6645366710584102
32,coex_SPL,24,23,-0.7460106382978724
33,coex_LCL,20,13,-0.7163461538461537
34,coex_CLS,26,18,-0.847860962566845
35,coex_EMC,42,35,-0.8589890501655207
36,coex_CLT,30,22,-0.7596638655462187
37,coex_core,40,37,-0.6281809406809409
38,coex_WBL,25,29,-1.0876322751322751
39,co-essential,13,10,-1.4668896321070233
40,GOBP,29,21,-0.8971088435374148
41,ppi,49,49,-0.6122448979591839
42,reactome_copathway,13,15,-0.4515669515669518
43,MP,19,17,-1.0059339525283797
44,HP,45,42,-0.539408866995074
45,GI_net,22,18,-0.9647435897435899
46,gene_gene_on_CbG_name_mapped,9,11,-0.6136363636363638
47,gene_gene_on_GcG_name_mapped,33,28,-1.0239780711092186
48,GOMF,8,5,
