,Layer,Urinary_bladder_inflammation nodes,Osteomyelitis nodes,sAB
0,coex_KDN,35,40,-0.4265476190476192
1,coex_BST,18,22,-0.3614926739926738
2,coex_OVR,25,27,-0.5725791855203621
3,coex_LNG,27,35,-0.4309523809523812
4,coex_ITI,33,38,-0.3733005733005734
5,coex_VGN,26,32,-0.33562271062271054
6,coex_HRV,17,20,-0.71875
7,coex_MSG,27,37,-0.32125875875875876
8,coex_ADV,21,29,-0.8078817733990151
9,coex_EMS,21,29,-0.5674548440065683
10,coex_SMU,19,24,-0.3708945328437372
11,coex_ARG,24,26,-0.30777210884353723
12,coex_TST,26,30,-0.4895604395604398
13,coex_PIT,30,33,-0.4678932178932176
14,coex_LVR,24,32,-0.8304100790513835
15,coex_THY,22,27,-0.6364323507180649
16,coex_PNC,22,29,-0.6153113282930724
17,coex_ATC,29,37,-0.4944832194832194
18,coex_BRO,31,30,-0.14644808743169402
19,coex_SKN,26,29,-0.7284663612249818
20,coex_ADS,23,26,-0.36188811188811165
21,coex_GEJ,19,30,-0.39427139276763334
22,coex_BRB,22,25,-0.4898839458413924
23,coex_UTR,18,22,-0.6766007078507079
24,coex_STM,25,31,-0.4890552995391706
25,coex_HRA,19,25,-0.5036719706242352
26,coex_PRS,19,25,-0.36847205222358226
27,coex_ATA,27,27,-0.436932215234102
28,coex_FIB,16,20,-0.32499999999999996
29,coex_BRC,24,24,-0.38538775824853566
30,coex_ATT,22,26,-0.3591886836567688
31,coex_TNV,17,17,-0.6067290552584672
32,coex_SPL,27,34,-0.8563430836815598
33,coex_LCL,15,20,-0.4072239422084625
34,coex_CLS,24,33,-0.5907738095238098
35,coex_EMC,24,35,-0.4933817920760981
36,coex_CLT,31,36,-0.4110180142438209
37,coex_core,29,39,-0.28252827027781646
38,coex_WBL,24,38,-0.23670062252405222
39,co-essential,10,9,-1.326315789473684
40,GOBP,5,21,0.08142857142857096
41,ppi,50,50,-0.26
42,reactome_copathway,26,24,-0.5991140642303432
43,MP,7,9,-1.820436507936508
44,HP,25,42,-0.25820184790334033
45,GI_net,22,21,-0.9165584415584414
46,gene_gene_on_CbG_name_mapped,19,15,-0.5444788441692466
47,gene_gene_on_GcG_name_mapped,31,28,-0.4743126610950559
48,GOMF,3,6,
