,Layer,Hepatic_encephalopathy nodes,Crohn_disease nodes,sAB
0,coex_KDN,38,35,-0.07033165104542172
1,coex_BST,20,27,0.47698957538774445
2,coex_OVR,24,28,-0.321948051948052
3,coex_LNG,31,27,-0.06822395253985913
4,coex_ITI,29,38,-0.032173524392556274
5,coex_VGN,23,26,-0.14886827458256047
6,coex_HRV,19,19,-0.5277777777777777
7,coex_MSG,27,35,-0.10121181088923037
8,coex_ADV,29,25,-0.19291413116970912
9,coex_EMS,27,23,-0.25935587761674705
10,coex_SMU,27,21,-0.2853835978835979
11,coex_ARG,24,23,-0.043478260869564966
12,coex_TST,31,26,-0.2572591528448913
13,coex_PIT,30,29,-0.18785310734463256
14,coex_LVR,32,30,-0.12159058790277011
15,coex_THY,25,24,-0.018945578231292615
16,coex_PNC,28,24,-0.055631868131868156
17,coex_ATC,29,28,-0.25
18,coex_BRO,35,26,-0.005494505494505475
19,coex_SKN,30,24,-0.24070512820512846
20,coex_ADS,24,23,-0.17391304347826075
21,coex_GEJ,28,28,-0.20581501831501825
22,coex_BRB,26,17,0.024629363940698035
23,coex_UTR,21,18,-0.41885964912280693
24,coex_STM,29,32,-0.15154218485019788
25,coex_HRA,25,23,-0.3283932346723044
26,coex_PRS,25,23,-0.2527366635831023
27,coex_ATA,28,30,-0.2561576354679804
28,coex_FIB,22,17,-0.16491841491841464
29,coex_BRC,29,23,0.13555555555555565
30,coex_ATT,28,23,0.12905844155844148
31,coex_TNV,17,24,-0.18541666666666679
32,coex_SPL,34,31,-0.1733688512625895
33,coex_LCL,17,17,0.03042830035239863
34,coex_CLS,32,32,-0.20967741935483897
35,coex_EMC,24,27,0.054524959742351164
36,coex_CLT,27,37,-0.14254577157802983
37,coex_core,35,35,-0.22647058823529398
38,coex_WBL,31,34,-0.16997518610421825
39,co-essential,7,10,-0.4593253968253972
40,GOBP,18,13,0.7948717948717947
41,ppi,49,50,-0.060245310245310435
42,reactome_copathway,23,30,-0.34052144249512684
43,MP,14,11,-0.7216732542819502
44,HP,34,25,0.24572283150548335
45,GI_net,29,16,-0.45357142857142874
46,gene_gene_on_CbG_name_mapped,30,16,-0.04809782608695645
47,gene_gene_on_GcG_name_mapped,34,29,-0.22395279951060898
48,GOMF,8,6,
