,Layer,Seizure nodes,West_syndrome nodes,sAB
0,coex_KDN,23,40,-0.4304089026915112
1,coex_BST,15,30,-0.2621212121212122
2,coex_OVR,17,29,-0.3466475095785442
3,coex_LNG,23,32,-0.40109427609427595
4,coex_ITI,18,35,-0.5044602456367162
5,coex_VGN,18,34,-0.5976621417797889
6,coex_HRV,13,19,-0.3846153846153846
7,coex_MSG,20,33,-0.10503144654088037
8,coex_ADV,17,28,-0.2711718020541549
9,coex_EMS,17,33,-0.36335115864527623
10,coex_SMU,19,32,-0.4946949174406605
11,coex_ARG,20,34,-0.42914305742157843
12,coex_TST,28,40,-0.39023109243697496
13,coex_PIT,30,42,-0.43293650793650795
14,coex_LVR,19,31,-0.3779626485568761
15,coex_THY,15,30,-0.5885281385281385
16,coex_PNC,23,33,-0.6258469791078485
17,coex_ATC,19,31,-0.23096774193548408
18,coex_BRO,30,40,-0.5494425863991081
19,coex_SKN,21,35,-0.2824233042499298
20,coex_ADS,11,21,-0.8329178885630495
21,coex_GEJ,19,31,-0.3757894736842107
22,coex_BRB,22,21,-0.20454545454545459
23,coex_UTR,15,26,-0.6943402126328957
24,coex_STM,18,33,-0.24688057040998235
25,coex_HRA,21,32,-0.46250280772686425
26,coex_PRS,19,28,-0.6769140989729223
27,coex_ATA,17,31,-0.2880061770761837
28,coex_FIB,20,28,-0.5565476190476188
29,coex_BRC,27,41,-0.07618778280543004
30,coex_ATT,19,32,-0.3965428276573788
31,coex_TNV,16,18,-0.013970588235293846
32,coex_SPL,22,33,-0.43073593073593064
33,coex_LCL,12,21,-0.1883116883116882
34,coex_CLS,20,34,-0.4552832244008713
35,coex_EMC,16,30,-0.4506340579710144
36,coex_CLT,19,34,-0.5102225597289562
37,coex_core,17,33,-0.3681996434937611
38,coex_WBL,18,28,-0.6120600414078676
39,co-essential,9,8,-0.4346405228758172
40,GOBP,17,19,-0.4375
41,ppi,49,50,-0.2518759018759018
42,reactome_copathway,18,21,-0.1937500000000001
43,MP,9,6,-0.5714285714285712
44,HP,44,38,-0.1582838448403523
45,GI_net,22,21,-0.4761904761904763
46,gene_gene_on_CbG_name_mapped,17,14,0.00508267823258346
47,gene_gene_on_GcG_name_mapped,34,30,-0.37273284313725474
48,GOMF,3,4,
