,Layer,Back_pain nodes,Myalgia nodes,sAB
0,coex_KDN,44,38,-0.07781645281645289
1,coex_BST,33,29,-0.053571428571428825
2,coex_OVR,34,31,-0.08789227849948933
3,coex_LNG,37,36,-0.06963470319634668
4,coex_ITI,38,37,-0.00014698909435750807
5,coex_VGN,40,33,-0.0823733914487339
6,coex_HRV,20,22,0.025148792157777766
7,coex_MSG,39,41,-0.0016103814884302903
8,coex_ADV,32,31,-0.1637228979375993
9,coex_EMS,36,36,0.02734182875027935
10,coex_SMU,33,38,0.07014174360356717
11,coex_ARG,33,32,-0.21875
12,coex_TST,40,39,-0.04945228821811121
13,coex_PIT,41,35,0.01464285714285718
14,coex_LVR,41,29,-0.1482398173735433
15,coex_THY,35,33,-0.03194296375266559
16,coex_PNC,35,27,-0.06683734425669874
17,coex_ATC,33,39,-0.0990675990675991
18,coex_BRO,39,35,-0.047275723555463944
19,coex_SKN,39,36,-0.1082478632478634
20,coex_ADS,31,28,-0.1811955965181773
21,coex_GEJ,31,33,-0.14517729134664625
22,coex_BRB,31,22,-0.30980030721966223
23,coex_UTR,32,33,-0.140625
24,coex_STM,37,36,0.03747318747318751
25,coex_HRA,36,35,-0.2554996646545944
26,coex_PRS,40,37,0.037431155852208464
27,coex_ATA,32,30,-0.13379734313171276
28,coex_FIB,28,30,-0.224630541871921
29,coex_BRC,34,32,-0.06878557874762814
30,coex_ATT,36,34,0.08396995161701071
31,coex_TNV,19,14,-0.19901315789473717
32,coex_SPL,38,34,0.02111283109735118
33,coex_LCL,24,24,-0.1875
34,coex_CLS,35,34,0.0019353195823783587
35,coex_EMC,35,38,-0.07073443412452685
36,coex_CLT,38,36,0.07172342621259031
37,coex_core,39,39,-0.18010936431989077
38,coex_WBL,33,35,0.11716816984595724
39,co-essential,11,10,-0.13636363636363624
40,GOBP,17,18,0.4135752688172043
41,ppi,50,50,-0.1200000000000001
42,reactome_copathway,17,18,-0.3153846153846156
43,MP,14,13,0.2275641025641022
44,HP,37,49,0.3018477661334804
45,GI_net,20,23,-0.26112718370980303
46,gene_gene_on_CbG_name_mapped,11,7,-0.24242424242424243
47,gene_gene_on_GcG_name_mapped,34,24,-0.028144016227180435
48,GOMF,7,4,-0.6666666666666667
