,Layer,Bronchiolitis nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,35,40,-0.04940476190476173
1,coex_BST,20,23,-0.13201481965784057
2,coex_OVR,27,23,-0.2857326892109502
3,coex_LNG,35,30,0.07628676470588225
4,coex_ITI,32,40,-0.10278282598818711
5,coex_VGN,26,29,0.042102724861345475
6,coex_HRV,19,19,0.16451668386652907
7,coex_MSG,28,31,-0.03292282430213467
8,coex_ADV,21,25,-0.15527950310559024
9,coex_EMS,24,23,0.21739130434782616
10,coex_SMU,24,23,-0.0003854455750849084
11,coex_ARG,24,19,-0.1316299469604243
12,coex_TST,30,32,-0.11209677419354858
13,coex_PIT,31,26,-0.18823313782991202
14,coex_LVR,27,26,-0.03735956566145249
15,coex_THY,28,31,-0.20379989065062887
16,coex_PNC,22,27,-0.15740740740740744
17,coex_ATC,28,24,0.03162640901771341
18,coex_BRO,30,25,0.11831417624521068
19,coex_SKN,27,25,-0.05555555555555536
20,coex_ADS,23,21,-0.2477413890457365
21,coex_GEJ,24,25,0.0663106551173156
22,coex_BRB,23,21,-0.12648221343873534
23,coex_UTR,17,21,-0.07424388674388682
24,coex_STM,25,32,-0.0558035714285714
25,coex_HRA,24,23,-0.14912889300030807
26,coex_PRS,23,27,-0.011363636363636687
27,coex_ATA,24,18,-0.05357142857142838
28,coex_FIB,18,24,-0.05392156862745079
29,coex_BRC,22,25,-0.44392292490118557
30,coex_ATT,24,24,-0.23737665741597302
31,coex_TNV,16,17,-0.9041666666666668
32,coex_SPL,31,32,-0.07811699948796735
33,coex_LCL,21,20,0.1328947368421054
34,coex_CLS,25,34,-0.1110553814002091
35,coex_EMC,29,32,-0.43186874304783096
36,coex_CLT,25,38,-0.01699342785408331
37,coex_core,34,37,0.017316017316017396
38,coex_WBL,35,30,-0.14255932257960646
39,co-essential,6,4,-0.25
40,GOBP,18,23,1.143939393939394
41,ppi,49,50,0.08219336219336193
42,reactome_copathway,26,22,0.04142857142857137
43,MP,14,17,0.7675521821631879
44,HP,27,35,0.28431472947602
45,GI_net,21,25,-0.15785024154589378
46,gene_gene_on_CbG_name_mapped,15,10,-0.17000000000000015
47,gene_gene_on_GcG_name_mapped,34,32,0.030999331550802145
48,GOMF,2,8,
