,Layer,Nocturia nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,41,33,-0.02488297610248824
1,coex_BST,24,23,-0.04183135704874852
2,coex_OVR,27,27,-0.14814814814814792
3,coex_LNG,31,23,0.26634980001038944
4,coex_ITI,30,31,5.2882072977267214e-05
5,coex_VGN,31,29,0.17630700778642927
6,coex_HRV,13,37,-0.03534303534303529
7,coex_MSG,31,42,-0.041516739263093516
8,coex_ADV,23,23,0.10832235397452772
9,coex_EMS,28,30,0.10785714285714265
10,coex_SMU,26,32,0.26570789124668437
11,coex_ARG,25,23,0.006702898550724701
12,coex_TST,34,34,-0.14076426024955424
13,coex_PIT,38,25,0.10144527986633234
14,coex_LVR,30,21,0.0642857142857145
15,coex_THY,29,27,0.5945454032394606
16,coex_PNC,28,14,-0.05368434636727315
17,coex_ATC,27,34,0.8780581449337475
18,coex_BRO,31,27,-0.08818681318681287
19,coex_SKN,31,27,-0.034523956659663124
20,coex_ADS,18,22,0.23639354066985652
21,coex_GEJ,24,22,0.005681818181818343
22,coex_BRB,18,18,-0.1944444444444442
23,coex_UTR,28,21,0.18707482993197289
24,coex_STM,30,31,0.07844841052878238
25,coex_HRA,30,39,0.025572686020447044
26,coex_PRS,31,39,0.22012601566681278
27,coex_ATA,23,19,-0.05802894153343452
28,coex_FIB,26,15,0.020544090056285214
29,coex_BRC,29,26,0.04863370201691586
30,coex_ATT,23,26,0.09576247064683718
31,coex_TNV,12,21,0.3188898971566845
32,coex_SPL,29,25,0.22370370370370374
33,coex_LCL,19,17,-0.050986842105263275
34,coex_CLS,28,29,0.020644872369010248
35,coex_EMC,31,23,0.09360448807854116
36,coex_CLT,32,27,0.03634781167108758
37,coex_core,33,35,0.47756336405529964
38,coex_WBL,25,29,0.33441514536849226
39,co-essential,13,9,0.27182539682539675
40,GOBP,20,19,2.09812030075188
41,ppi,47,50,0.14652555384952848
42,reactome_copathway,16,18,0.3549019607843138
43,MP,19,20,1.6849415204678366
44,HP,35,43,0.5268421500979641
45,GI_net,26,16,-0.11166666666666636
46,gene_gene_on_CbG_name_mapped,11,11,-0.13636363636363646
47,gene_gene_on_GcG_name_mapped,35,31,-0.13820695433598673
48,GOMF,3,1,
