,Layer,Atypical_absence_seizure nodes,Status_epilepticus nodes,sAB
0,coex_KDN,31,28,-0.07561704288057469
1,coex_BST,23,16,-0.11349206349206353
2,coex_OVR,17,14,0.17315270935960614
3,coex_LNG,22,19,-0.17808379040728184
4,coex_ITI,27,24,0.08378205128205107
5,coex_VGN,27,22,0.019510582010581867
6,coex_HRV,12,18,-0.030555555555555447
7,coex_MSG,26,22,0.03583916083916083
8,coex_ADV,19,13,0.03327429149797556
9,coex_EMS,20,17,0.10103338632750392
10,coex_SMU,20,15,-0.03333333333333366
11,coex_ARG,25,16,-0.2075914634146343
12,coex_TST,30,23,0.1433962264150943
13,coex_PIT,29,26,0.13767560664112377
14,coex_LVR,21,20,0.19277003484320576
15,coex_THY,23,18,0.045787545787545625
16,coex_PNC,26,17,-0.07989582237188264
17,coex_ATC,25,18,-0.08069767441860476
18,coex_BRO,40,33,0.005730380730380791
19,coex_SKN,24,16,-0.1855142140468229
20,coex_ADS,18,16,0.125
21,coex_GEJ,22,15,-0.13333333333333375
22,coex_BRB,33,26,-0.051193157125360544
23,coex_UTR,17,11,0.08995416348357566
24,coex_STM,29,22,0.08222693466101183
25,coex_HRA,22,15,0.07380952380952399
26,coex_PRS,22,13,-0.04225774225774259
27,coex_ATA,24,17,-0.03825586178527374
28,coex_FIB,14,12,-0.22252747252747263
29,coex_BRC,39,32,-0.1690606833723598
30,coex_ATT,20,18,-0.020270270270270174
31,coex_TNV,23,21,0.08712121212121193
32,coex_SPL,23,15,-0.17543859649122773
33,coex_LCL,10,9,-0.38128654970760234
34,coex_CLS,25,25,0.2999999999999998
35,coex_EMC,23,16,-0.02877647714604281
36,coex_CLT,25,22,0.1459767891682786
37,coex_core,25,23,0.22620048776385504
38,coex_WBL,11,20,1.4250000000000003
39,co-essential,5,6,0.025757575757575424
40,GOBP,21,20,0.5062656641604013
41,ppi,49,49,0.0714285714285714
42,reactome_copathway,19,20,0.29444444444444473
43,MP,12,13,1.0069264069264072
44,HP,37,24,0.07143516467286948
45,GI_net,14,20,-0.01139211665527462
46,gene_gene_on_CbG_name_mapped,22,24,0.04216073781291163
47,gene_gene_on_GcG_name_mapped,30,36,-0.03510101010101008
48,GOMF,5,1,
