,Layer,Gingival_disorder nodes,Sepsis nodes,sAB
0,coex_KDN,40,39,-0.34223466407010705
1,coex_BST,21,22,-0.40216450216450217
2,coex_OVR,34,30,-0.4080269607843139
3,coex_LNG,36,34,-0.4692640692640693
4,coex_ITI,38,34,-0.24943280095244513
5,coex_VGN,32,26,-0.32016744031830235
6,coex_HRV,20,24,-0.6185606060606059
7,coex_MSG,35,36,-0.28120947909680316
8,coex_ADV,36,32,-0.56863344988345
9,coex_EMS,30,28,-0.5470464955492178
10,coex_SMU,32,29,-0.3217036461277558
11,coex_ARG,30,27,-0.2529239766081872
12,coex_TST,33,32,-0.1546911421911421
13,coex_PIT,34,33,-0.20932769308537513
14,coex_LVR,40,35,-0.2530920060331825
15,coex_THY,33,30,-0.37469085641605404
16,coex_PNC,30,29,-0.3002630040911749
17,coex_ATC,29,31,-0.3550555230859147
18,coex_BRO,28,33,-0.13216769569228592
19,coex_SKN,35,30,-0.2966911764705884
20,coex_ADS,27,26,-0.5384615384615385
21,coex_GEJ,28,27,-0.2799682846852658
22,coex_BRB,22,30,-0.411072261072261
23,coex_UTR,29,24,-0.6370896184560779
24,coex_STM,36,35,-0.1564721663313211
25,coex_HRA,27,28,-0.14118566618566608
26,coex_PRS,34,32,-0.32013146167557927
27,coex_ATA,29,31,-0.31194581280788203
28,coex_FIB,27,23,-0.25967793880837364
29,coex_BRC,30,29,-0.06896551724137945
30,coex_ATT,30,29,-0.33501858093509673
31,coex_TNV,21,19,0.04282765737874117
32,coex_SPL,43,38,-0.39730948819076106
33,coex_LCL,23,22,-0.18972113158159676
34,coex_CLS,31,28,-0.22095516569200768
35,coex_EMC,32,28,-0.22306547619047623
36,coex_CLT,35,31,-0.4161791871921183
37,coex_core,38,36,-0.19283495824591723
38,coex_WBL,35,32,-0.23286401098901122
39,co-essential,14,11,0.17831168831168842
40,GOBP,18,11,0.5972222222222223
41,ppi,49,50,-0.14217480931766646
42,reactome_copathway,26,30,-0.30410794602698665
43,MP,12,8,-0.6677631578947367
44,HP,46,28,-0.12227211683733419
45,GI_net,23,24,-0.6180124223602486
46,gene_gene_on_CbG_name_mapped,8,18,0.14690170940170932
47,gene_gene_on_GcG_name_mapped,25,33,-0.15673981191222586
48,GOMF,3,7,
