,Layer,Primary_dilated_cardiomyopathy nodes,Urinary_retention nodes,sAB
0,coex_KDN,33,29,-0.06363636363636371
1,coex_BST,23,22,-0.13636363636363646
2,coex_OVR,27,26,-0.20551792721604034
3,coex_LNG,23,22,-0.0648221343873514
4,coex_ITI,31,26,-0.17954159592529728
5,coex_VGN,29,27,-0.11749680715197952
6,coex_HRV,37,13,0.02927234927234923
7,coex_MSG,42,29,-0.21773167742084687
8,coex_ADV,23,19,-0.031546256946714646
9,coex_EMS,30,23,-0.03205128205128238
10,coex_SMU,32,23,-0.04047677865612642
11,coex_ARG,23,15,0.2556064073226545
12,coex_TST,34,31,-0.1884120583717359
13,coex_PIT,25,32,-0.04617511520737372
14,coex_LVR,21,18,-0.08058608058608052
15,coex_THY,27,21,0.42399267399267426
16,coex_PNC,14,23,-0.04608024173241576
17,coex_ATC,34,20,-0.10680827886710276
18,coex_BRO,27,30,-0.15246172460328555
19,coex_SKN,27,25,-0.023475783475783274
20,coex_ADS,22,20,-0.12067099567099548
21,coex_GEJ,22,22,-0.2857142857142856
22,coex_BRB,18,23,-0.33484848484848495
23,coex_UTR,21,20,-0.09953542392566739
24,coex_STM,31,27,-0.10291270135541541
25,coex_HRA,39,19,-0.1103122527804925
26,coex_PRS,39,27,-0.23633773633773658
27,coex_ATA,19,19,-4.440892098500626e-16
28,coex_FIB,15,19,-0.15572755417956685
29,coex_BRC,26,21,0.16746031746031775
30,coex_ATT,26,22,-0.2552655677655675
31,coex_TNV,21,21,-0.2281039136302292
32,coex_SPL,25,22,-0.16181818181818208
33,coex_LCL,17,13,-0.009615384615384137
34,coex_CLS,29,25,-0.008965517241379395
35,coex_EMC,23,24,0.08743961352656981
36,coex_CLT,27,25,-0.31286576168929114
37,coex_core,35,25,0.16512315270935973
38,coex_WBL,29,22,-0.40393155694879845
39,co-essential,9,4,0.4252136752136755
40,GOBP,19,25,1.6254578754578755
41,ppi,50,47,0.1461965343277034
42,reactome_copathway,18,10,0.7482352941176469
43,MP,20,19,1.932017543859649
44,HP,43,45,0.4570119802677943
45,GI_net,16,18,-0.2168682795698924
46,gene_gene_on_CbG_name_mapped,11,7,-0.2272727272727273
47,gene_gene_on_GcG_name_mapped,31,31,-0.17741935483870974
48,GOMF,1,3,
