,Layer,West_syndrome nodes,Atonic_seizure nodes,sAB
0,coex_KDN,40,35,-0.641547619047619
1,coex_BST,30,22,-0.8159340659340659
2,coex_OVR,29,20,-0.6296973961998591
3,coex_LNG,32,23,-0.7463438735177863
4,coex_ITI,35,29,-0.2552647783251232
5,coex_VGN,34,27,-0.46914175506268063
6,coex_HRV,19,16,-0.4017857142857144
7,coex_MSG,33,28,-0.3593871975019516
8,coex_ADV,28,20,-0.5107142857142861
9,coex_EMS,33,21,-0.5685425685425687
10,coex_SMU,32,21,-0.6842851527403417
11,coex_ARG,34,22,-0.570855614973262
12,coex_TST,40,34,-0.5473966613672496
13,coex_PIT,42,33,-0.6317748917748918
14,coex_LVR,31,26,-0.5138870750076183
15,coex_THY,30,22,-0.9703962703962703
16,coex_PNC,33,24,-0.8003389154704941
17,coex_ATC,31,29,-0.5272895810159437
18,coex_BRO,40,39,-0.4675149411991517
19,coex_SKN,35,25,-0.522794117647059
20,coex_ADS,21,22,-1.340911730545877
21,coex_GEJ,31,24,-0.867216117216117
22,coex_BRB,21,26,-0.27782324058919783
23,coex_UTR,26,16,-0.4423076923076923
24,coex_STM,33,27,-0.3217171717171716
25,coex_HRA,32,26,-0.5323793859649122
26,coex_PRS,28,21,-0.5433673469387754
27,coex_ATA,31,24,-0.8692795179471196
28,coex_FIB,28,19,-0.6391577347624382
29,coex_BRC,41,36,-0.4530844155844156
30,coex_ATT,32,23,-0.5395622895622894
31,coex_TNV,18,22,-0.6501547987616103
32,coex_SPL,33,25,-0.39385579937304094
33,coex_LCL,21,15,-0.6142857142857143
34,coex_CLS,34,28,-0.3524329086473301
35,coex_EMC,30,24,-0.6064814814814814
36,coex_CLT,34,31,-0.24748774509803928
37,coex_core,33,26,-0.4211607601438112
38,coex_WBL,28,19,-0.6102423612222045
39,co-essential,8,8,-0.875
40,GOBP,19,17,-0.7999108734402851
41,ppi,50,50,-0.47
42,reactome_copathway,21,23,-0.42983386355602704
43,MP,6,8,-1.9326923076923075
44,HP,38,35,-0.3879956741167988
45,GI_net,21,19,-0.5744360902255636
46,gene_gene_on_CbG_name_mapped,14,29,-0.10989231297972268
47,gene_gene_on_GcG_name_mapped,30,30,-0.4333333333333331
48,GOMF,4,0,
