,Layer,Inflammatory_bowel_disease nodes,Respiratory_insufficiency nodes,sAB
0,coex_KDN,36,25,-0.06249042145593875
1,coex_BST,20,11,0.19802052785923774
2,coex_OVR,28,12,0.26735764235764226
3,coex_LNG,32,16,-0.15069492107069316
4,coex_ITI,36,20,0.029761904761904878
5,coex_VGN,27,19,0.25370370370370376
6,coex_HRV,18,10,0.22523881347410768
7,coex_MSG,34,24,0.33244590939824237
8,coex_ADV,27,11,0.22721861471861482
9,coex_EMS,23,14,0.35043988269794735
10,coex_SMU,22,17,0.33806818181818166
11,coex_ARG,21,14,0.09285714285714297
12,coex_TST,24,18,-0.028694404591104616
13,coex_PIT,28,20,0.15573286052009472
14,coex_LVR,33,17,0.025757575757575868
15,coex_THY,21,15,-0.13549783549783578
16,coex_PNC,23,15,0.2990083905415717
17,coex_ATC,31,15,0.12393641888733065
18,coex_BRO,27,17,0.3867597544068131
19,coex_SKN,28,13,-0.020014245014244647
20,coex_ADS,20,11,-0.2741379310344825
21,coex_GEJ,25,11,0.37328431372549
22,coex_BRB,21,12,0.1401515151515147
23,coex_UTR,18,9,0.011470588235294343
24,coex_STM,31,15,-0.22777777777777808
25,coex_HRA,21,13,0.16804915514592933
26,coex_PRS,25,20,0.625
27,coex_ATA,28,12,-0.15476190476190466
28,coex_FIB,15,11,-0.1226107226107227
29,coex_BRC,25,16,-0.00657894736842124
30,coex_ATT,26,17,-0.04385964912280693
31,coex_TNV,19,12,0.4166666666666661
32,coex_SPL,31,17,0.01755218216318788
33,coex_LCL,22,8,-0.09000410509031198
34,coex_CLS,31,20,-0.010246521476104054
35,coex_EMC,28,12,0.02068764568764525
36,coex_CLT,32,19,0.0677405830753357
37,coex_core,36,18,0.5387129210658625
38,coex_WBL,32,16,0.21354166666666652
39,co-essential,8,5,-0.6785714285714288
40,GOBP,21,23,1.0140663390663391
41,ppi,49,42,0.1894296180010464
42,reactome_copathway,21,18,1.7863777089783284
43,MP,19,14,-0.4782189137027846
44,HP,30,41,0.6268521699301501
45,GI_net,25,14,0.393953634085213
46,gene_gene_on_CbG_name_mapped,7,13,-0.0060439560439560225
47,gene_gene_on_GcG_name_mapped,29,28,-0.21144455967504983
48,GOMF,8,9,-0.0714285714285714
