,Layer,Erythroderma nodes,Conjunctivitis nodes,sAB
0,coex_KDN,30,40,-0.24590336134453783
1,coex_BST,18,27,-0.3685185185185187
2,coex_OVR,34,31,-0.49325980392156854
3,coex_LNG,28,35,-0.3709653092006031
4,coex_ITI,26,36,-0.21450234353460185
5,coex_VGN,38,35,-0.22656518747850019
6,coex_HRV,11,19,-0.13660130718954244
7,coex_MSG,36,38,-0.20198784632814903
8,coex_ADV,18,27,-0.5848030018761727
9,coex_EMS,28,30,-0.489132313542477
10,coex_SMU,19,27,-0.37980684033315604
11,coex_ARG,13,29,-0.22256097560975618
12,coex_TST,23,33,-0.23030303030303023
13,coex_PIT,21,33,-0.4562289562289561
14,coex_LVR,25,28,-0.1356334231805929
15,coex_THY,22,34,-0.3300229182582122
16,coex_PNC,18,29,-0.5751813809407351
17,coex_ATC,22,32,-0.1795400943396226
18,coex_BRO,20,32,-0.5096153846153846
19,coex_SKN,37,32,-0.21241830065359468
20,coex_ADS,31,29,-0.45461624026696335
21,coex_GEJ,30,35,-0.2559883004926109
22,coex_BRB,12,22,-0.14505347593582862
23,coex_UTR,14,26,-0.4487179487179489
24,coex_STM,26,30,-0.583333333333333
25,coex_HRA,18,25,-0.4289329268292683
26,coex_PRS,27,33,-0.5446127946127945
27,coex_ATA,20,29,-0.32607318789584827
28,coex_FIB,16,23,-0.27031075808249727
29,coex_BRC,20,25,-0.417846889952153
30,coex_ATT,23,31,-0.29969524466678177
31,coex_TNV,21,18,0.33698830409356706
32,coex_SPL,27,36,-0.408068783068783
33,coex_LCL,14,29,-0.29765130984643173
34,coex_CLS,26,33,-0.43788923719958217
35,coex_EMC,35,36,-0.02450980392156854
36,coex_CLT,27,37,-0.2661887694145759
37,coex_core,38,42,-0.05277777777777781
38,coex_WBL,24,38,-0.01687181663837012
39,co-essential,6,5,-1.7803030303030298
40,GOBP,22,21,1.1681681681681684
41,ppi,49,50,-0.07064728921871777
42,reactome_copathway,23,26,-0.406439393939394
43,MP,17,16,0.8570564516129031
44,HP,47,46,-0.11830195060328452
45,GI_net,20,21,-0.6071637426900582
46,gene_gene_on_CbG_name_mapped,8,9,-0.2271241830065358
47,gene_gene_on_GcG_name_mapped,17,35,-0.32802197802197797
48,GOMF,11,6,-1.25
