,Layer,Seizure nodes,Temporal_lobe_epilepsy nodes,sAB
0,coex_KDN,23,31,0.07493117240662839
1,coex_BST,15,20,0.25476190476190474
2,coex_OVR,17,19,0.14981203007518795
3,coex_LNG,23,21,0.07243531662136293
4,coex_ITI,18,29,-0.018837535014005535
5,coex_VGN,18,25,-0.2894573643410856
6,coex_HRV,13,14,-0.2682132682132683
7,coex_MSG,20,24,0.05984848484848482
8,coex_ADV,17,15,0.4200980392156861
9,coex_EMS,17,22,0.24156725627313902
10,coex_SMU,19,18,-0.005373794847479019
11,coex_ARG,20,23,0.040407282063251504
12,coex_TST,28,31,-0.1865578380067172
13,coex_PIT,30,34,-0.22677696078431375
14,coex_LVR,19,21,-0.09116541353383445
15,coex_THY,15,21,0.10042016806722698
16,coex_PNC,23,25,0.04268115942028983
17,coex_ATC,19,25,0.337693798449612
18,coex_BRO,30,37,-0.20207745058491344
19,coex_SKN,21,22,-0.13138639281129638
20,coex_ADS,11,21,0.05579178885630531
21,coex_GEJ,19,22,0.00403034613560882
22,coex_BRB,22,27,-0.2808871023156736
23,coex_UTR,15,15,-0.23333333333333295
24,coex_STM,18,29,0.10748349229640519
25,coex_HRA,21,19,-0.024310776942355616
26,coex_PRS,19,19,0.09674922600619196
27,coex_ATA,17,24,-0.07500000000000018
28,coex_FIB,20,14,-0.23004201680672298
29,coex_BRC,27,33,-0.012339743589743435
30,coex_ATT,19,22,-0.4254872213793912
31,coex_TNV,16,23,-0.2046683046683042
32,coex_SPL,22,18,0.028083028083027983
33,coex_LCL,12,12,-0.0732323232323231
34,coex_CLS,20,24,-0.13295454545454533
35,coex_EMC,16,19,-0.16198308270676698
36,coex_CLT,19,27,-0.26947198915162307
37,coex_core,17,29,0.12092046120773903
38,coex_WBL,18,15,-0.39583333333333304
39,co-essential,9,6,0.9174603174603173
40,GOBP,17,18,0.3747214795008915
41,ppi,49,49,-0.05102040816326525
42,reactome_copathway,18,21,-0.6116071428571428
43,MP,9,13,0.2972222222222225
44,HP,44,24,-0.14780747425662377
45,GI_net,22,17,-0.06229890604890631
46,gene_gene_on_CbG_name_mapped,17,25,0.05366946778711479
47,gene_gene_on_GcG_name_mapped,34,31,-0.18842504743833
48,GOMF,3,3,
