,Layer,Epididymitis nodes,Goiter nodes,sAB
0,coex_KDN,38,34,0.008156250699746792
1,coex_BST,18,19,0.45341394025604576
2,coex_OVR,26,27,-0.0743464052287579
3,coex_LNG,34,27,0.23778009984906534
4,coex_ITI,35,26,0.014627994955863644
5,coex_VGN,30,26,-0.025596816976127146
6,coex_HRV,21,11,0.14539170506912447
7,coex_MSG,35,31,-0.07519899455383316
8,coex_ADV,28,19,0.8817789153735403
9,coex_EMS,26,20,0.35641148325358873
10,coex_SMU,22,19,0.04965573579180793
11,coex_ARG,20,20,0.285964912280702
12,coex_TST,28,22,-0.07064935064935063
13,coex_PIT,31,29,0.04267704857248811
14,coex_LVR,32,22,-0.14345985724561472
15,coex_THY,28,29,-0.10382637628554159
16,coex_PNC,23,20,-0.04069767441860472
17,coex_ATC,33,24,0.13815789473684204
18,coex_BRO,27,23,0.3225108225108224
19,coex_SKN,27,21,-0.0966409477047776
20,coex_ADS,28,17,0.37440783807062905
21,coex_GEJ,29,23,0.5172085385878491
22,coex_BRB,25,14,-0.04683760683760685
23,coex_UTR,17,19,-0.0613721804511278
24,coex_STM,31,25,0.020414746543778728
25,coex_HRA,20,18,0.027777777777778123
26,coex_PRS,27,20,-0.0855351170568559
27,coex_ATA,22,19,0.07152496626180849
28,coex_FIB,15,23,0.1598779557589629
29,coex_BRC,19,23,0.38367954253705205
30,coex_ATT,25,20,0.03999999999999959
31,coex_TNV,22,10,0.7594696969696968
32,coex_SPL,33,28,0.12697821304378643
33,coex_LCL,20,22,-0.07309941520467822
34,coex_CLS,31,22,-0.06768383776904763
35,coex_EMC,31,21,0.06847453621647182
36,coex_CLT,35,26,-0.01500754147812966
37,coex_core,37,28,0.4564449064449063
38,coex_WBL,33,21,0.23063973063973053
39,co-essential,8,11,0.5556220095693778
40,GOBP,10,16,1.701190476190476
41,ppi,50,42,0.23995859213250514
42,reactome_copathway,25,10,0.22083333333333366
43,MP,11,13,3.1804029304029307
44,HP,39,48,0.2220720892170669
45,GI_net,24,20,-0.007496940024479759
46,gene_gene_on_CbG_name_mapped,14,16,0.2696428571428573
47,gene_gene_on_GcG_name_mapped,28,22,-0.014350649350649336
48,GOMF,2,2,
