,Layer,Renal_tubular_acidosis nodes,Celiac_disease nodes,sAB
0,coex_KDN,42,32,0.58377574002574
1,coex_BST,30,17,0.3169150718758269
2,coex_OVR,26,23,0.08903829090164495
3,coex_LNG,34,28,0.537090698348305
4,coex_ITI,31,29,0.18861698183166475
5,coex_VGN,29,21,0.2304421768707483
6,coex_HRV,15,14,0.9315734989648035
7,coex_MSG,36,28,0.2021329365079365
8,coex_ADV,29,18,0.021209633278598705
9,coex_EMS,29,21,-0.019475721323011896
10,coex_SMU,28,17,0.5527597402597402
11,coex_ARG,28,14,0.04523809523809552
12,coex_TST,33,23,0.17525409373235457
13,coex_PIT,35,21,0.02751322751322749
14,coex_LVR,31,21,0.19467787114845958
15,coex_THY,27,23,0.5375000000000001
16,coex_PNC,29,22,0.45917898193760287
17,coex_ATC,29,24,0.11221806549555424
18,coex_BRO,25,24,0.27083333333333304
19,coex_SKN,31,21,0.23837535014005584
20,coex_ADS,20,19,0.6081871345029235
21,coex_GEJ,34,22,0.2300392851214519
22,coex_BRB,15,16,0.4233198924731183
23,coex_UTR,25,12,-0.11342342342342304
24,coex_STM,32,27,0.17354245134965463
25,coex_HRA,33,18,0.20611111111111136
26,coex_PRS,29,23,-0.03463268365817074
27,coex_ATA,27,26,0.0013574660633484115
28,coex_FIB,28,17,0.5434873949579835
29,coex_BRC,33,20,0.23004807692307727
30,coex_ATT,29,22,0.23480238490380456
31,coex_TNV,11,17,-0.10416666666666652
32,coex_SPL,35,31,0.6618070101941069
33,coex_LCL,25,16,0.39572845156369185
34,coex_CLS,30,21,0.25060755336617424
35,coex_EMC,29,26,0.23351648351648358
36,coex_CLT,29,23,0.22875100911082935
37,coex_core,38,34,0.6794965786901273
38,coex_WBL,32,29,0.5239583333333333
39,co-essential,17,5,-0.37807486631016074
40,GOBP,32,18,2.651526162790698
41,ppi,49,49,0.1428571428571428
42,reactome_copathway,15,19,0.4337254426388548
43,MP,19,15,1.5354166666666664
44,HP,41,26,0.7133446277057489
45,GI_net,17,15,0.020059636757929322
46,gene_gene_on_CbG_name_mapped,17,11,0.35542398777692896
47,gene_gene_on_GcG_name_mapped,34,30,0.13020833333333348
48,GOMF,6,15,
