,Layer,Postherpetic_neuralgia nodes,myoclonic_epilepsy nodes,sAB
0,coex_KDN,34,37,-0.1155259155259154
1,coex_BST,15,29,0.2321428571428572
2,coex_OVR,19,26,0.30348311059665356
3,coex_LNG,25,34,0.15821465428276582
4,coex_ITI,28,35,0.28961100569259957
5,coex_VGN,22,32,-0.20993373764600198
6,coex_HRV,24,13,0.7424203049203051
7,coex_MSG,28,33,0.2246291959406712
8,coex_ADV,25,30,0.5240740740740741
9,coex_EMS,18,28,0.08980331262939956
10,coex_SMU,17,29,0.510847517417762
11,coex_ARG,14,33,-0.18734164386338303
12,coex_TST,26,38,0.11309941520467826
13,coex_PIT,27,36,0.22023809523809534
14,coex_LVR,32,30,0.06260080645161303
15,coex_THY,15,30,0.4798701298701302
16,coex_PNC,22,35,0.617293233082707
17,coex_ATC,14,30,0.16904761904761934
18,coex_BRO,28,39,0.4182615629984052
19,coex_SKN,16,30,-0.25555555555555554
20,coex_ADS,17,26,0.45109243697478973
21,coex_GEJ,23,28,0.13029100529100557
22,coex_BRB,21,27,0.2459022852639876
23,coex_UTR,13,25,0.27198198198198176
24,coex_STM,24,33,0.33742025518341334
25,coex_HRA,24,29,0.31367939025139835
26,coex_PRS,23,26,0.3326999087868652
27,coex_ATA,19,31,0.8161117078410314
28,coex_FIB,16,26,0.46371336996337
29,coex_BRC,24,38,0.378691735213474
30,coex_ATT,16,29,0.3561118112040327
31,coex_TNV,20,18,0.23680555555555527
32,coex_SPL,23,31,0.23435146226170023
33,coex_LCL,11,20,-0.06515426497277677
34,coex_CLS,28,34,0.30224089635854323
35,coex_EMC,17,30,0.027868168544013194
36,coex_CLT,24,30,0.38770850423844694
37,coex_core,27,33,0.7060176665439823
38,coex_WBL,18,24,0.2172619047619051
39,co-essential,4,8,0.979166666666667
40,GOBP,18,21,0.6736111111111112
41,ppi,49,48,-0.0006092643242863183
42,reactome_copathway,21,16,0.6568783068783066
43,MP,9,11,1.2470238095238093
44,HP,28,43,0.13124678302372383
45,GI_net,17,15,-0.17183908045977025
46,gene_gene_on_CbG_name_mapped,18,14,0.014880952380952328
47,gene_gene_on_GcG_name_mapped,26,35,0.01825037707390642
48,GOMF,4,7,
