,Layer,Epididymitis nodes,Urinary_bladder_inflammation nodes,sAB
0,coex_KDN,38,35,-0.42302659802659814
1,coex_BST,18,18,-0.26102941176470607
2,coex_OVR,26,25,-0.8360884353741496
3,coex_LNG,34,27,-0.6590909090909092
4,coex_ITI,35,33,-0.3824420677361853
5,coex_VGN,30,26,-0.3829394743187846
6,coex_HRV,21,17,-0.6289816602316605
7,coex_MSG,35,27,-0.43275302952722305
8,coex_ADV,28,21,-0.9183673469387752
9,coex_EMS,26,21,-0.8190890269151139
10,coex_SMU,22,19,-0.4965573579180764
11,coex_ARG,20,24,-0.7344696969696971
12,coex_TST,28,26,-0.5718355718355719
13,coex_PIT,31,30,-0.4942270403666489
14,coex_LVR,32,24,-0.7825335604087356
15,coex_THY,28,22,-0.665
16,coex_PNC,23,22,-0.7646464646464648
17,coex_ATC,33,29,-0.6767174082747851
18,coex_BRO,27,31,-0.24712643678160928
19,coex_SKN,27,26,-0.8846153846153844
20,coex_ADS,28,23,-0.7261834026539911
21,coex_GEJ,29,19,-0.5860934664246824
22,coex_BRB,25,22,-0.3273307543520305
23,coex_UTR,17,18,-0.9283088235294117
24,coex_STM,31,25,-0.4302995391705069
25,coex_HRA,20,19,-0.6758732416627151
26,coex_PRS,27,19,-0.45197930724246493
27,coex_ATA,22,27,-0.5208333333333333
28,coex_FIB,15,16,-0.6473118279569889
29,coex_BRC,19,24,-0.5419527078565982
30,coex_ATT,25,22,-0.6780124223602486
31,coex_TNV,22,17,-1.050837320574163
32,coex_SPL,33,27,-0.9904040404040404
33,coex_LCL,20,15,-0.5616161616161615
34,coex_CLS,31,24,-0.5889173998044963
35,coex_EMC,31,24,-0.4130954236143576
36,coex_CLT,35,31,-0.3849000145964092
37,coex_core,37,29,-0.42359287186873384
38,coex_WBL,33,24,-0.3361244019138756
39,co-essential,8,10,-1.0638888888888887
40,GOBP,10,5,-0.36428571428571477
41,ppi,50,50,-0.32999999999999985
42,reactome_copathway,25,26,-0.6875000000000002
43,MP,11,7,-1.9180672268907561
44,HP,39,25,-0.2885096153846154
45,GI_net,24,22,-0.8196640316205537
46,gene_gene_on_CbG_name_mapped,14,19,-0.5208475734791524
47,gene_gene_on_GcG_name_mapped,28,31,-0.3708017652112785
48,GOMF,2,3,
