,Layer,Nasal_polyposis nodes,West_syndrome nodes,sAB
0,coex_KDN,35,40,0.24854928457869607
1,coex_BST,17,30,0.1700767263427112
2,coex_OVR,21,29,-0.04942528735632168
3,coex_LNG,38,32,0.24530075187969924
4,coex_ITI,26,35,0.13651594307332005
5,coex_VGN,23,34,0.15917350922062212
6,coex_HRV,19,19,-0.23684210526315796
7,coex_MSG,28,33,0.10841139734582361
8,coex_ADV,17,28,-0.22411297852474332
9,coex_EMS,19,33,0.24877315666789368
10,coex_SMU,18,32,0.028958333333333197
11,coex_ARG,16,34,0.08483393357342939
12,coex_TST,33,40,0.0801940639269405
13,coex_PIT,31,42,0.14490878101130011
14,coex_LVR,24,31,-0.017998533724340238
15,coex_THY,20,30,0.22166666666666623
16,coex_PNC,22,33,0.6180856180856185
17,coex_ATC,26,31,0.31974654377880185
18,coex_BRO,31,40,0.626397258655323
19,coex_SKN,24,35,-0.023051554717997025
20,coex_ADS,21,21,0.06965737514518011
21,coex_GEJ,22,31,0.23717948717948678
22,coex_BRB,25,21,0.6305555555555555
23,coex_UTR,16,26,-0.10734834271419658
24,coex_STM,22,33,0.3242424242424242
25,coex_HRA,19,32,-0.02506944444444459
26,coex_PRS,22,28,0.1845238095238093
27,coex_ATA,20,31,0.5739879822896898
28,coex_FIB,13,28,-0.012027606539801727
29,coex_BRC,14,41,0.3212301587301587
30,coex_ATT,17,32,0.637154861944778
31,coex_TNV,12,18,0.47288006111535497
32,coex_SPL,25,33,0.004075235109717745
33,coex_LCL,15,21,0.04999999999999982
34,coex_CLS,25,34,0.051286141575274335
35,coex_EMC,23,30,-0.018065268065268203
36,coex_CLT,21,34,0.3626177743824801
37,coex_core,27,33,0.3026936026936027
38,coex_WBL,27,28,0.40176549865229116
39,co-essential,4,8,-0.5
40,GOBP,21,19,1.5505148005148008
41,ppi,48,50,0.21526360544217682
42,reactome_copathway,16,21,0.6118279569892473
43,MP,12,6,1.420454545454545
44,HP,36,38,1.0527896317370002
45,GI_net,20,21,-0.22191697191697202
46,gene_gene_on_CbG_name_mapped,9,14,0.2952035886818496
47,gene_gene_on_GcG_name_mapped,29,30,-0.001353984024936583
48,GOMF,4,4,
