,Layer,Epididymitis nodes,Cholelithiasis nodes,sAB
0,coex_KDN,38,31,0.11658290168726615
1,coex_BST,18,23,0.28393425238600223
2,coex_OVR,26,22,-0.10062582345191018
3,coex_LNG,34,24,0.37424242424242404
4,coex_ITI,35,33,0.04581105169340449
5,coex_VGN,30,25,0.10850574712643657
6,coex_HRV,21,17,0.04126984126984112
7,coex_MSG,35,26,0.08057106827598637
8,coex_ADV,28,24,0.42619656558275487
9,coex_EMS,26,24,0.18568027210884352
10,coex_SMU,22,23,0.2622310057092667
11,coex_ARG,20,24,-0.003409090909090917
12,coex_TST,28,30,-0.07233169129720873
13,coex_PIT,31,27,0.23118279569892475
14,coex_LVR,32,33,0.1345918866080158
15,coex_THY,28,22,0.6195454545454546
16,coex_PNC,23,22,0.3535353535353538
17,coex_ATC,33,22,0.4257575757575758
18,coex_BRO,27,24,0.46691176470588247
19,coex_SKN,27,24,0.022948717948718222
20,coex_ADS,28,18,0.1637452960982375
21,coex_GEJ,29,23,0.4526707234617988
22,coex_BRB,25,11,0.16714285714285726
23,coex_UTR,17,22,0.31907894736842124
24,coex_STM,31,25,0.25470046082949294
25,coex_HRA,20,25,0.2769250645994834
26,coex_PRS,27,22,0.47698135198135194
27,coex_ATA,22,15,0.3380952380952378
28,coex_FIB,15,21,-0.0071428571428568954
29,coex_BRC,19,24,0.36487658098735176
30,coex_ATT,25,23,0.27605072463768154
31,coex_TNV,22,12,0.2698863636363633
32,coex_SPL,33,25,0.43997910135841156
33,coex_LCL,20,19,0.003714240556345727
34,coex_CLS,31,29,0.12564438022338553
35,coex_EMC,31,23,0.2213651238896679
36,coex_CLT,35,30,0.3466911764705882
37,coex_core,37,25,0.4109898833259491
38,coex_WBL,33,24,0.42703349282296665
39,co-essential,8,9,0.22630718954248374
40,GOBP,10,28,2.9368368368368367
41,ppi,50,49,0.15013399299113583
42,reactome_copathway,25,15,0.03965053763440851
43,MP,11,10,2.6999999999999997
44,HP,39,31,0.419638426090039
45,GI_net,24,17,-0.24264705882352944
46,gene_gene_on_CbG_name_mapped,14,20,-0.19138655462184873
47,gene_gene_on_GcG_name_mapped,28,28,-0.1607142857142858
48,GOMF,2,5,
