,Layer,Primary_dilated_cardiomyopathy nodes,Familial_multiple_polyposis_syndrome nodes,sAB
0,coex_KDN,33,37,-0.01043021631256913
1,coex_BST,23,30,0.03534329092138444
2,coex_OVR,27,32,-0.14753017756354803
3,coex_LNG,23,34,0.02706734867860172
4,coex_ITI,31,32,-0.11290322580645151
5,coex_VGN,29,32,0.03403528638223263
6,coex_HRV,37,14,0.7344802785979256
7,coex_MSG,42,34,0.13939259914492097
8,coex_ADV,23,24,0.25021199506629666
9,coex_EMS,30,24,0.022644927536232373
10,coex_SMU,32,25,0.2790178571428572
11,coex_ARG,23,28,-0.17120326391426155
12,coex_TST,34,29,-0.22510952515545513
13,coex_PIT,25,32,-0.23108294930875584
14,coex_LVR,21,32,-0.15089211863405416
15,coex_THY,27,28,0.40348781653129473
16,coex_PNC,14,28,-0.011904761904761862
17,coex_ATC,34,32,0.4029265800613051
18,coex_BRO,27,31,0.21201732619389668
19,coex_SKN,27,31,-0.08457957401227678
20,coex_ADS,22,24,0.14006916996047458
21,coex_GEJ,22,28,-0.2610930735930741
22,coex_BRB,18,20,-0.22222222222222232
23,coex_UTR,21,23,-0.1597452934662238
24,coex_STM,31,33,0.1139723851417398
25,coex_HRA,39,28,0.4579647435897436
26,coex_PRS,39,25,0.19157051282051274
27,coex_ATA,19,27,-0.17134502923976624
28,coex_FIB,15,27,-0.17500000000000004
29,coex_BRC,26,28,-0.2747252747252751
30,coex_ATT,26,24,-0.1776375798114933
31,coex_TNV,21,17,-0.3622291021671824
32,coex_SPL,25,29,0.30607918263090705
33,coex_LCL,17,18,-0.2719534050179211
34,coex_CLS,29,27,-0.068965517241379
35,coex_EMC,23,30,0.14314842578710651
36,coex_CLT,27,32,-0.25029011936339507
37,coex_core,35,33,0.4735233516483519
38,coex_WBL,29,35,0.4838124081256754
39,co-essential,9,12,-0.7727272727272729
40,GOBP,19,15,1.0083333333333337
41,ppi,50,50,0.25
42,reactome_copathway,18,32,0.48444847784836265
43,MP,20,12,1.5714809384164226
44,HP,43,37,0.7921983029541171
45,GI_net,16,28,-0.2492063492063492
46,gene_gene_on_CbG_name_mapped,11,15,0.024009324009323985
47,gene_gene_on_GcG_name_mapped,31,29,-0.061531331108639176
48,GOMF,1,2,
