,Layer,Leukemia nodes,Lymphoma nodes,sAB
0,coex_KDN,46,43,-0.1889704498400151
1,coex_BST,35,28,-0.42619047619047645
2,coex_OVR,35,30,-0.45750915750915744
3,coex_LNG,40,39,-0.36935248296007783
4,coex_ITI,42,43,-0.2831183636245196
5,coex_VGN,40,35,-0.34941094941094963
6,coex_HRV,16,21,-0.13750000000000018
7,coex_MSG,41,36,-0.4248759370710591
8,coex_ADV,30,29,-0.32382622248197923
9,coex_EMS,32,30,-0.24143145161290325
10,coex_SMU,34,29,-0.527914614121511
11,coex_ARG,31,26,-0.3642857142857141
12,coex_TST,45,36,-0.3148148148148149
13,coex_PIT,37,36,-0.3285048747377515
14,coex_LVR,38,35,-0.3593624472139254
15,coex_THY,34,36,-0.3904808959156787
16,coex_PNC,30,28,-0.4431444991789817
17,coex_ATC,36,38,-0.2773809523809525
18,coex_BRO,34,33,-0.4009431452363852
19,coex_SKN,39,34,-0.23984962406015042
20,coex_ADS,30,31,-0.6674466338259442
21,coex_GEJ,37,33,-0.30623094206387425
22,coex_BRB,22,22,-0.06385281385281383
23,coex_UTR,34,25,-0.46788486561672715
24,coex_STM,42,36,-0.2941086691086692
25,coex_HRA,35,28,-0.3492063492063493
26,coex_PRS,36,32,-0.16656454248365993
27,coex_ATA,33,33,-0.6875
28,coex_FIB,38,34,-0.408316352806825
29,coex_BRC,39,27,-0.4363397810766234
30,coex_ATT,35,34,-0.40568749238825985
31,coex_TNV,18,18,-0.2649101307189543
32,coex_SPL,39,43,-0.25975036644151284
33,coex_LCL,35,36,-0.21638655462184886
34,coex_CLS,40,33,-0.20489829804898307
35,coex_EMC,36,36,-0.11111111111111116
36,coex_CLT,41,38,-0.1363400009749598
37,coex_core,42,43,-0.24685688228779878
38,coex_WBL,37,44,-0.25745442412109076
39,co-essential,22,18,-0.6285103785103785
40,GOBP,8,11,0.2936507936507944
41,ppi,50,50,-0.18999999999999995
42,reactome_copathway,32,32,-0.435483870967742
43,MP,12,18,-0.06271129141311693
44,HP,31,44,-0.2007575757575757
45,GI_net,36,23,-0.49242610333251435
46,gene_gene_on_CbG_name_mapped,17,8,0.3441176470588234
47,gene_gene_on_GcG_name_mapped,35,35,-0.32857142857142874
48,GOMF,3,4,
