,Layer,Erythroderma nodes,Eczematoid_dermatitis nodes,sAB
0,coex_KDN,30,43,-0.41666666666666674
1,coex_BST,18,19,-0.34522680575312137
2,coex_OVR,34,32,-0.5230893493761144
3,coex_LNG,28,33,-0.8265576231677927
4,coex_ITI,26,30,-0.42912087912087915
5,coex_VGN,38,36,-0.3435277382645803
6,coex_HRV,11,13,0.18829431438127076
7,coex_MSG,36,35,-0.24388685051485393
8,coex_ADV,18,21,-0.6607142857142858
9,coex_EMS,28,27,-0.4549062049062049
10,coex_SMU,19,25,-0.614688995215311
11,coex_ARG,13,25,-0.18434195064629844
12,coex_TST,23,31,-0.2567365683616445
13,coex_PIT,21,26,-0.49686306601200214
14,coex_LVR,25,26,-0.3325188536953243
15,coex_THY,22,28,-0.4314935064935066
16,coex_PNC,18,23,-0.5743784611759164
17,coex_ATC,22,28,-0.1556122448979591
18,coex_BRO,20,24,-0.4280303030303034
19,coex_SKN,37,34,-0.24519140989729227
20,coex_ADS,31,27,-0.5760721789642815
21,coex_GEJ,30,31,-0.21516656925774402
22,coex_BRB,12,18,-0.0714285714285714
23,coex_UTR,14,18,-0.3256410256410254
24,coex_STM,26,26,-0.3076923076923075
25,coex_HRA,18,19,-0.2464755639097742
26,coex_PRS,27,28,-0.668855218855219
27,coex_ATA,20,26,-0.3976588628762543
28,coex_FIB,16,18,-0.0008355614973261094
29,coex_BRC,20,18,-0.08060692271218617
30,coex_ATT,23,27,-0.6848865420293992
31,coex_TNV,21,16,-0.3472222222222223
32,coex_SPL,27,33,-0.5910774410774411
33,coex_LCL,14,17,-0.2998102466793169
34,coex_CLS,26,26,-0.5102413273001507
35,coex_EMC,35,35,-0.2623228395835946
36,coex_CLT,27,32,-0.45628888064928086
37,coex_core,38,39,-0.42495726495726505
38,coex_WBL,24,33,-0.43032296650717705
39,co-essential,6,7,-0.7353479853479854
40,GOBP,22,22,-0.2854090354090357
41,ppi,49,50,-0.11074829931972796
42,reactome_copathway,23,22,-0.2564102564102564
43,MP,17,14,-0.31208791208791187
44,HP,47,44,-0.11047994558632857
45,GI_net,20,19,-0.25
46,gene_gene_on_CbG_name_mapped,8,7,0.12142857142857144
47,gene_gene_on_GcG_name_mapped,17,33,-0.3848484848484848
48,GOMF,11,6,
