,Layer,Episcleritis nodes,Blepharitis nodes,sAB
0,coex_KDN,45,39,-0.49975579975579953
1,coex_BST,27,34,-0.5505428159964552
2,coex_OVR,32,39,-0.5715172444925967
3,coex_LNG,34,39,-0.4351204351204352
4,coex_ITI,38,36,-0.43077287814129916
5,coex_VGN,33,38,-0.3249295112781956
6,coex_HRV,17,15,-1.1442802927622662
7,coex_MSG,32,43,-0.27087693798449597
8,coex_ADV,29,34,-0.5434738411493629
9,coex_EMS,31,41,-0.32777714675147673
10,coex_SMU,26,37,-0.5956588456588459
11,coex_ARG,30,35,-0.6206959706959707
12,coex_TST,34,42,-0.35883827215096553
13,coex_PIT,36,37,-0.3981395779340986
14,coex_LVR,32,38,-0.7515977443609021
15,coex_THY,32,26,-0.6128399122807016
16,coex_PNC,29,38,-0.5816561475742879
17,coex_ATC,32,34,-0.2596646613190732
18,coex_BRO,30,37,-0.48019362646228325
19,coex_SKN,34,40,-0.5569115815691161
20,coex_ADS,30,25,-0.9643233938586262
21,coex_GEJ,31,41,-0.4968052215733425
22,coex_BRB,22,19,-0.8380207725522228
23,coex_UTR,30,33,-0.6857451039875957
24,coex_STM,36,36,-0.4166666666666665
25,coex_HRA,27,31,-0.44261113171013045
26,coex_PRS,30,40,-0.592857142857143
27,coex_ATA,32,35,-0.38917910447761206
28,coex_FIB,26,32,-0.4869031830238726
29,coex_BRC,26,37,-0.6445161290322581
30,coex_ATT,34,37,-0.4600912600912601
31,coex_TNV,15,18,-0.9099264705882355
32,coex_SPL,34,37,-0.28600618016525226
33,coex_LCL,25,32,-0.6096652003910068
34,coex_CLS,34,39,-0.5387529137529139
35,coex_EMC,32,39,-0.49453773925604927
36,coex_CLT,35,38,-0.5184578056574742
37,coex_core,38,42,-0.37749862461030625
38,coex_WBL,33,36,-0.365612648221344
39,co-essential,6,15,0.31904761904761925
40,GOBP,21,15,-0.5946969696969697
41,ppi,49,50,-0.15104926819212539
42,reactome_copathway,22,29,-0.18602693602693599
43,MP,17,9,0.411111111111111
44,HP,41,48,-0.19870146718875314
45,GI_net,19,31,-0.7056372549019609
46,gene_gene_on_CbG_name_mapped,12,6,-0.5138888888888888
47,gene_gene_on_GcG_name_mapped,28,32,-0.1322916666666667
48,GOMF,9,6,
