,Layer,West_syndrome nodes,Ulcerative_colitis nodes,sAB
0,coex_KDN,40,33,0.41545765877957663
1,coex_BST,30,15,0.1486710963455149
2,coex_OVR,29,21,0.15819376026272547
3,coex_LNG,32,30,0.3936546071226683
4,coex_ITI,35,35,0.18914261356716588
5,coex_VGN,34,24,0.15720081135902664
6,coex_HRV,19,22,0.7833333333333332
7,coex_MSG,33,33,0.30633012820512784
8,coex_ADV,28,23,0.6193368651808551
9,coex_EMS,33,23,0.3696969696969701
10,coex_SMU,32,16,0.296875
11,coex_ARG,34,12,0.7385976129582268
12,coex_TST,40,22,0.3788489736070382
13,coex_PIT,42,25,0.231331168831169
14,coex_LVR,31,31,0.37682883835713055
15,coex_THY,30,18,0.11944444444444446
16,coex_PNC,33,23,0.831818181818182
17,coex_ATC,31,26,0.6111751152073732
18,coex_BRO,40,24,0.5621947496947497
19,coex_SKN,35,22,0.06503055767761667
20,coex_ADS,21,20,0.6477395411605937
21,coex_GEJ,31,28,0.4494552058111383
22,coex_BRB,21,21,1.0176829268292682
23,coex_UTR,26,11,0.1326308826308824
24,coex_STM,33,32,0.566637529137529
25,coex_HRA,32,22,0.1920673076923074
26,coex_PRS,28,25,0.24844537815126078
27,coex_ATA,31,25,0.6581336405529954
28,coex_FIB,28,14,0.1607142857142856
29,coex_BRC,41,19,0.6241413916146299
30,coex_ATT,32,19,0.9404024767801857
31,coex_TNV,18,21,0.35360459973463065
32,coex_SPL,33,30,0.20021645021645007
33,coex_LCL,21,15,-0.01389786683904326
34,coex_CLS,34,27,0.3715686274509804
35,coex_EMC,30,25,0.30333333333333323
36,coex_CLT,34,30,0.404166264206832
37,coex_core,33,31,0.5461113147605083
38,coex_WBL,28,30,0.1890394088669951
39,co-essential,8,11,0.8564593301435406
40,GOBP,19,16,0.5714285714285712
41,ppi,50,50,0.20999999999999996
42,reactome_copathway,21,17,0.8976190476190475
43,MP,6,16,0.5258771929824562
44,HP,38,22,0.6730462519936204
45,GI_net,21,23,-0.03712591756069994
46,gene_gene_on_CbG_name_mapped,14,9,0.6671842650103521
47,gene_gene_on_GcG_name_mapped,30,26,0.09816849816849826
48,GOMF,4,7,
