,Layer,Intracranial_swelling nodes,Ascites nodes,sAB
0,coex_KDN,39,44,0.41079764266542185
1,coex_BST,28,34,0.12778801843317966
2,coex_OVR,34,29,0.013651532005258371
3,coex_LNG,31,32,-0.0337029569892473
4,coex_ITI,38,37,0.055135135135135016
5,coex_VGN,32,32,-0.17741935483870974
6,coex_HRV,29,15,0.5396093481498454
7,coex_MSG,32,39,0.08292704947634522
8,coex_ADV,24,28,0.4746732026143792
9,coex_EMS,28,31,0.15570607553366145
10,coex_SMU,31,27,0.35794916161990686
11,coex_ARG,32,26,0.3117125331564985
12,coex_TST,34,39,0.10258992954399893
13,coex_PIT,34,34,0.08761672918828323
14,coex_LVR,37,31,0.18931551917830203
15,coex_THY,29,30,0.1437429781349926
16,coex_PNC,31,33,-0.06451612903225801
17,coex_ATC,29,35,0.07380952380952399
18,coex_BRO,36,28,0.37758478081058744
19,coex_SKN,31,35,0.004029304029304015
20,coex_ADS,30,23,0.2818627450980391
21,coex_GEJ,27,29,0.21802590768108
22,coex_BRB,26,20,0.49864024864024836
23,coex_UTR,22,26,0.0725524475524475
24,coex_STM,36,38,0.19211316579737625
25,coex_HRA,32,29,0.23283277715980688
26,coex_PRS,27,29,-0.036387686387686635
27,coex_ATA,24,28,0.26533882783882756
28,coex_FIB,28,28,-0.05054112554112544
29,coex_BRC,36,28,0.07514880952380931
30,coex_ATT,31,30,-0.2068965517241379
31,coex_TNV,23,13,0.040223203906068594
32,coex_SPL,32,37,0.30933415032679723
33,coex_LCL,27,29,-0.04084415584415568
34,coex_CLS,34,29,0.03269626183975438
35,coex_EMC,31,38,0.08697774568020122
36,coex_CLT,32,32,0.12805619559651804
37,coex_core,35,38,0.22352157459862498
38,coex_WBL,31,33,0.712411412512219
39,co-essential,16,10,-0.21472222222222248
40,GOBP,26,29,1.5717378917378917
41,ppi,50,49,0.331243042671614
42,reactome_copathway,15,18,0.3776223776223775
43,MP,7,12,0.45454545454545503
44,HP,36,43,0.7055605892815193
45,GI_net,21,23,-0.11439142253095724
46,gene_gene_on_CbG_name_mapped,33,10,0.44386892177589865
47,gene_gene_on_GcG_name_mapped,31,32,-0.11361527137736815
48,GOMF,9,4,
