,Layer,Prostatitis nodes,Cholangitis nodes,sAB
0,coex_KDN,36,38,-0.24676045908922606
1,coex_BST,18,20,-0.06329549363605036
2,coex_OVR,17,25,-0.14218487394957968
3,coex_LNG,28,29,-0.38204665704665697
4,coex_ITI,28,36,-0.22867063492063489
5,coex_VGN,23,27,0.030337387480244615
6,coex_HRV,12,22,-0.22727272727272707
7,coex_MSG,28,32,-0.31235119047619064
8,coex_ADV,23,25,-0.251893939393939
9,coex_EMS,20,22,-0.5584494773519162
10,coex_SMU,15,26,-0.16666666666666652
11,coex_ARG,18,21,-0.3965201465201462
12,coex_TST,24,31,-0.33611925708699886
13,coex_PIT,25,29,0.008262108262108159
14,coex_LVR,23,30,-0.11503496503496513
15,coex_THY,25,26,0.24193061840120667
16,coex_PNC,18,26,-0.16626328527833323
17,coex_ATC,24,25,-0.2500000000000002
18,coex_BRO,22,26,-0.2551243083157977
19,coex_SKN,21,26,-0.12252587991718422
20,coex_ADS,18,27,-0.21611596337998495
21,coex_GEJ,21,28,-0.3069933287324589
22,coex_BRB,14,22,-0.09790209790209792
23,coex_UTR,18,17,-0.012867647058823373
24,coex_STM,26,31,-0.16698156682027676
25,coex_HRA,19,23,-0.012607517379521482
26,coex_PRS,20,25,0.0719696969696968
27,coex_ATA,20,21,0.06288156288156266
28,coex_FIB,18,18,-0.17394957983193238
29,coex_BRC,18,28,-0.1759259259259256
30,coex_ATT,18,22,-0.17073906485671175
31,coex_TNV,12,17,-0.08941852603110156
32,coex_SPL,30,33,-0.4775613275613273
33,coex_LCL,18,14,-0.07203849281648145
34,coex_CLS,25,31,-0.3972727272727272
35,coex_EMC,27,24,-0.4055010893246187
36,coex_CLT,28,30,-0.22758284600389844
37,coex_core,32,35,0.13410451029046877
38,coex_WBL,28,26,-0.27064690026954197
39,co-essential,6,9,-0.052380952380952195
40,GOBP,15,21,2.256379585326954
41,ppi,50,48,-0.08225340136054404
42,reactome_copathway,17,23,0.4668560606060608
43,MP,12,11,-0.5439393939393935
44,HP,30,33,-0.121933621933622
45,GI_net,19,22,-0.3952991452991452
46,gene_gene_on_CbG_name_mapped,12,14,-0.2866300366300367
47,gene_gene_on_GcG_name_mapped,27,28,-0.16363636363636358
48,GOMF,3,4,
