,Layer,Squamous_cell_carcinoma nodes,Kaposi_sarcoma nodes,sAB
0,coex_KDN,34,39,-0.4516308376575242
1,coex_BST,22,26,-0.35023310023310006
2,coex_OVR,28,33,-0.11755952380952372
3,coex_LNG,30,32,-0.09166666666666679
4,coex_ITI,29,39,-0.22004212825713854
5,coex_VGN,34,30,-0.015502450980392268
6,coex_HRV,15,27,-0.3962163852407756
7,coex_MSG,37,35,0.054332904332904164
8,coex_ADV,17,27,-0.29179045355515965
9,coex_EMS,25,27,0.2367521367521368
10,coex_SMU,20,29,-0.2119940029985008
11,coex_ARG,16,23,-0.20598845598845594
12,coex_TST,28,32,-0.41918746076585056
13,coex_PIT,30,33,-0.18037518037518052
14,coex_LVR,23,36,-0.4199316302300826
15,coex_THY,20,27,-0.413179669030733
16,coex_PNC,18,29,-0.38526127007418265
17,coex_ATC,24,29,-0.41305870174156634
18,coex_BRO,24,33,-0.23241106719367588
19,coex_SKN,26,26,0.21153846153846168
20,coex_ADS,29,27,0.3045977011494254
21,coex_GEJ,30,33,-0.09677419354838701
22,coex_BRB,22,28,-0.20390984676698953
23,coex_UTR,12,17,-0.3129629629629629
24,coex_STM,24,36,-0.21527777777777768
25,coex_HRA,20,28,-0.375
26,coex_PRS,26,31,-0.33859649122807034
27,coex_ATA,16,24,-0.4041666666666668
28,coex_FIB,23,21,-0.24870129870129865
29,coex_BRC,21,30,-0.46862745098039227
30,coex_ATT,18,26,-0.2782051282051281
31,coex_TNV,25,25,0.20833333333333348
32,coex_SPL,20,23,-0.21089484327603625
33,coex_LCL,16,18,-0.2997737556561084
34,coex_CLS,25,36,-0.4695972886762356
35,coex_EMC,28,28,-0.09093314093314087
36,coex_CLT,30,35,-0.0699199507389161
37,coex_core,39,37,0.148205128205128
38,coex_WBL,27,30,-0.10925925925925917
39,co-essential,13,12,-0.04166666666666652
40,GOBP,18,12,0.2520697167755994
41,ppi,49,46,-0.16194367907346008
42,reactome_copathway,26,24,-0.3808510638297873
43,MP,14,13,0.4490093240093245
44,HP,31,19,-0.1724957555178268
45,GI_net,30,29,-0.3302005012531328
46,gene_gene_on_CbG_name_mapped,16,20,-0.21180555555555558
47,gene_gene_on_GcG_name_mapped,27,28,-0.1265271765271767
48,GOMF,2,8,
