,Layer,Pyelonephritis nodes,Prostatitis nodes,sAB
0,coex_KDN,40,36,-0.2460526315789473
1,coex_BST,27,18,-0.5784489108702517
2,coex_OVR,29,17,-0.35985616817259825
3,coex_LNG,31,28,-0.2406171466238205
4,coex_ITI,37,28,-0.3104172854172855
5,coex_VGN,32,23,-0.32491582491582505
6,coex_HRV,24,12,-0.5577380952380957
7,coex_MSG,33,28,-0.2921279540132
8,coex_ADV,31,23,-0.47753555026835626
9,coex_EMS,25,20,-0.7113636363636366
10,coex_SMU,25,15,-0.4516666666666669
11,coex_ARG,25,18,-0.39217054263565854
12,coex_TST,30,24,-0.3999999999999999
13,coex_PIT,37,25,-0.34934612031386236
14,coex_LVR,36,23,-0.24255485893416928
15,coex_THY,25,25,-0.3599999999999999
16,coex_PNC,28,18,-0.5580312933254112
17,coex_ATC,31,24,-0.3148148148148149
18,coex_BRO,31,22,-0.36975658749852314
19,coex_SKN,28,21,-0.5272108843537415
20,coex_ADS,23,18,-0.8129795396419439
21,coex_GEJ,29,21,-0.409613436209181
22,coex_BRB,22,14,-0.253096903096903
23,coex_UTR,22,18,-0.4290359878595176
24,coex_STM,31,26,-0.26375576036866377
25,coex_HRA,27,19,-0.26709401709401703
26,coex_PRS,24,20,-0.3484580384226488
27,coex_ATA,30,20,-0.3819444444444442
28,coex_FIB,22,18,-0.2704545454545455
29,coex_BRC,25,18,-0.42700258397932833
30,coex_ATT,28,18,-0.2478758169934645
31,coex_TNV,19,12,-0.09267119411431768
32,coex_SPL,29,30,-0.4407656341320867
33,coex_LCL,18,18,-0.4117647058823526
34,coex_CLS,33,25,-0.5379723502304146
35,coex_EMC,30,27,-0.17884990253411281
36,coex_CLT,33,28,-0.38316498316498326
37,coex_core,38,32,-0.19734345351043658
38,coex_WBL,29,28,-0.08928571428571441
39,co-essential,5,6,-1.6694444444444443
40,GOBP,12,15,1.283596837944664
41,ppi,50,50,-0.15999999999999992
42,reactome_copathway,15,17,-1.0580357142857142
43,MP,15,12,-0.5282051282051285
44,HP,16,30,-0.30253623188405787
45,GI_net,27,19,-0.42385392385392406
46,gene_gene_on_CbG_name_mapped,14,12,-0.48168498168498153
47,gene_gene_on_GcG_name_mapped,32,27,-0.37420550847457634
48,GOMF,1,3,
