,Layer,myoclonic_epilepsy nodes,Abetalipoproteinaemia nodes,sAB
0,coex_KDN,37,28,0.10968220968220987
1,coex_BST,29,21,0.021258503401360596
2,coex_OVR,26,23,0.048836256910790965
3,coex_LNG,34,26,-0.05965309200603297
4,coex_ITI,35,30,6.127450980386584e-05
5,coex_VGN,32,23,-0.06632905138339917
6,coex_HRV,13,15,0.029609279609279504
7,coex_MSG,33,28,0.048692427790788306
8,coex_ADV,30,18,-0.03611111111111098
9,coex_EMS,28,22,0.09175324675324692
10,coex_SMU,29,18,0.17149669845928095
11,coex_ARG,33,21,-0.06180856180856176
12,coex_TST,38,29,0.03918888129414455
13,coex_PIT,36,29,0.08586059534335422
14,coex_LVR,30,21,-0.1449999999999998
15,coex_THY,30,19,0.3847222222222224
16,coex_PNC,35,21,0.05119047619047645
17,coex_ATC,30,20,0.20333333333333337
18,coex_BRO,39,32,-0.30606203007518795
19,coex_SKN,30,21,-0.008403361344537785
20,coex_ADS,26,18,0.10372093023255768
21,coex_GEJ,28,23,0.09394524959742334
22,coex_BRB,27,26,-0.2043756383379023
23,coex_UTR,25,13,0.04607287449392716
24,coex_STM,33,27,0.028282828282828465
25,coex_HRA,29,19,-0.07648971566848162
26,coex_PRS,26,19,-0.033580746738641754
27,coex_ATA,31,16,0.3064935064935068
28,coex_FIB,26,18,-0.030108780108780264
29,coex_BRC,38,24,-0.193491527993632
30,coex_ATT,29,17,0.415852490421456
31,coex_TNV,18,20,0.02974624060150388
32,coex_SPL,31,22,-0.1761467382282964
33,coex_LCL,20,15,-0.02591706539074945
34,coex_CLS,34,24,-0.20102265043948608
35,coex_EMC,30,20,0.006666666666666821
36,coex_CLT,30,25,0.08757575757575764
37,coex_core,33,25,0.13003134796238247
38,coex_WBL,24,20,0.004166666666666874
39,co-essential,8,5,-0.368269230769231
40,GOBP,21,19,-0.3531746031746028
41,ppi,48,49,0.01012080089767875
42,reactome_copathway,16,13,-0.03754578754578741
43,MP,11,10,2.427976190476191
44,HP,43,31,0.3028020518643175
45,GI_net,15,17,-0.13057795698924712
46,gene_gene_on_CbG_name_mapped,14,17,-0.15356465166711852
47,gene_gene_on_GcG_name_mapped,35,35,-0.04300937766410895
48,GOMF,7,5,
